family,n,mean_advantage,mean_ci_low,mean_ci_high,median_advantage,median_ci_low,median_ci_high,win_rate_gt_threshold,win_rate_ci_low,win_rate_ci_high
overall,1000,-0.1874531663196283,-0.21324011014740005,-0.1620094857263648,-0.0520973571262087,-0.06943416966017404,-0.03265076618763561,0.204,0.179,0.231
chaotic_flow,160,-0.13620881263082502,-0.19155281985272624,-0.07503407401770552,-0.1716283893357885,-0.22308668581688323,-0.0805096565635867,0.25625,0.19375,0.325
chaotic_map,200,0.04111138233115419,0.0066991428339191784,0.07780304365906182,-8.432689247662803e-06,-0.0006458204288179397,0.0675273077372212,0.44,0.375,0.51
colored_noise,20,-0.04958687310950947,-0.15796818917241776,0.042191730501205345,0.0,-0.080399882639153,0.029912220374522912,0.15,0.0,0.3
input_driven,100,-0.4355710972026328,-0.4906003225587066,-0.378556602379273,-0.48630733266755305,-0.5331904861262365,-0.4559720064204787,0.04,0.01,0.09
linear_stochastic,60,-0.0869655569423915,-0.13052471374794147,-0.04791620533480591,-0.047334083014705,-0.08059621314202457,-0.006777757669103,0.11666666666666667,0.03333333333333333,0.2
long_range,40,0.022963688450008908,0.0005123168496974987,0.04713528375475998,0.006674779724125149,-0.013860780955115,0.022528038259306597,0.25,0.125,0.4
nonlinear_stochastic,120,0.02264944966525369,0.014384943805924633,0.03157425914952135,0.01354911873829815,0.007337731123796,0.02290468186309575,0.18333333333333332,0.11666666666666667,0.25833333333333336
nonstationary,140,-0.12106991647582596,-0.1826844790948244,-0.06143752247116943,-0.0374473521935723,-0.084259538380249,-0.0120966354809489,0.2,0.1357142857142857,0.2785714285714286
oscillatory,120,-0.7456412789365058,-0.8258128825225272,-0.6749737742031263,-0.6892367779029702,-0.7537079343749437,-0.6079370127069736,0.0,0.0,0.0
real_bridge,40,-0.5331247971191166,-0.6311245561783065,-0.43145299540877763,-0.48810530113110234,-0.5421928921516652,-0.4359689145879616,0.025,0.0,0.075
