feature,importance_mean,ci_low,ci_high,selection_rate,direction,corr_with_advantage
r2_linear,0.9302992574179754,0.8092120802698289,1.2194495120675113,1.0,negative,-0.45491102686299234
ac_timescale,0.2804178754291298,0.20389556515312818,0.47666197671050864,1.0,positive,0.1163342429692713
spectral_entropy,0.18833597058034812,0.10189613129565457,0.3122019506034025,1.0,positive,0.3418472131184096
snr_db,0.13898928659270077,0.09034971676864222,0.26314134606383593,1.0,positive,0.020634027071497828
dfa_alpha,0.05386051247803743,0.014619948954219837,0.08465545940249788,1.0,positive,0.003879279099968092
zero_one_K,0.03551792592504377,0.03449511665747532,0.17370072901797773,1.0,positive,0.20500536091688748
kpss_p,0.03530684185101761,0.01104357589793264,0.0765483904284967,1.0,negative,-0.14555346757643955
pred_nrmse_gbm,0.030768142010783085,0.01059743713165846,0.06298359410988832,1.0,negative,-0.04924203734164789
spectral_flatness,0.02503584987497782,0.0040895217478647454,0.08083357760115135,0.9333333333333333,positive,0.2442457066381231
perm_entropy,0.01617598753658158,0.011582124287808688,0.06696337459535955,1.0,positive,0.12672200578187423
dom_freq,0.012485946797736713,0.008927702083183131,0.04878869309542205,1.0,positive,0.21809609563935056
nl_gain,0.005376345380169563,0.006962610179604009,0.034414803157507015,1.0,positive,0.24584788171533517
lyapunov,0.0049928608492498475,0.011942806635987027,0.0539778952165098,1.0,positive,0.13303396812844367
ami_first_min,0.004337657225332708,0.0029696006840598775,0.02974509241322073,1.0,positive,0.13579300177210873
mem_capacity,0.003411833096898218,0.0005021403739477479,0.008856943537849622,1.0,negative,-0.09472322499524764
n_diffs,-0.0010106231324188352,-0.001111848077226518,0.005988363813810146,0.4,positive,0.11219480266721668
adf_p,-0.0027878754967200444,-0.007869735925364685,0.031757051196927726,1.0,positive,0.10944864382649593
