feature_set,feature,importance_mean,importance_std,corr_with_advantage,direction,ridge_coef,ridge_abs_coef,shap_mean_abs
all,r2_linear,0.9302992574179754,0.11856400453613339,-0.45491102686299234,negative,-0.1778977180457426,0.1778977180457426,
all,ac_timescale,0.2804178754291298,0.09123121377077108,0.1163342429692713,positive,0.10676708856768631,0.10676708856768631,
all,spectral_entropy,0.18833597058034812,0.053292397806986934,0.3418472131184096,positive,0.3008607899073929,0.3008607899073929,
all,snr_db,0.13898928659270077,0.039783373763474655,0.020634027071497828,positive,0.08302388803707657,0.08302388803707657,
all,dfa_alpha,0.05386051247803743,0.006692913795944029,0.003879279099968092,positive,0.09975970126655372,0.09975970126655372,
all,zero_one_K,0.03551792592504377,0.03282562113476571,0.20500536091688748,positive,0.04767464734693168,0.04767464734693168,
all,kpss_p,0.03530684185101761,0.023475408823648288,-0.14555346757643955,negative,-0.02272359922350616,0.02272359922350616,
all,pred_nrmse_gbm,0.030768142010783085,0.01258641612453684,-0.04924203734164789,negative,-0.042508291943306555,0.042508291943306555,
all,spectral_flatness,0.02503584987497782,0.017620223766783915,0.2442457066381231,positive,-0.1280592684566905,0.1280592684566905,
all,perm_entropy,0.01617598753658158,0.009461552398353296,0.12672200578187423,positive,-0.0556116612070689,0.0556116612070689,
all,dom_freq,0.012485946797736713,0.007117162456678775,0.21809609563935056,positive,0.0552749796014484,0.0552749796014484,
all,nl_gain,0.005376345380169563,0.006480468405970452,0.24584788171533517,positive,-0.003800864176738465,0.003800864176738465,
all,lyapunov,0.0049928608492498475,0.015300104123777896,0.13303396812844367,positive,0.03913138504276944,0.03913138504276944,
all,ami_first_min,0.004337657225332708,0.0030745208583001006,0.13579300177210873,positive,0.08894978799506216,0.08894978799506216,
all,mem_capacity,0.003411833096898218,0.002402609393371919,-0.09472322499524764,negative,-0.01618574807379175,0.01618574807379175,
all,n_diffs,-0.0010106231324188352,0.0013695638103239298,0.11219480266721668,positive,-0.0060192704793080145,0.0060192704793080145,
all,adf_p,-0.0027878754967200444,0.0100014881584249,0.10944864382649593,positive,0.04897928554587043,0.04897928554587043,
