family,n,mean_advantage,median_advantage,std_advantage,win_rate_gt0,win_rate_gt_threshold,mean_nrmse_esn_matched,mean_nrmse_qrc_spin
overall,1000,-0.1874531663196283,-0.0520973571262087,0.40309475815536633,0.341,0.204,0.7571830892766694,0.9446362555962977
chaotic_flow,160,-0.13620881263082502,-0.1716283893357885,0.3704864302285936,0.325,0.25625,0.8635588032806938,0.9997676159115189
chaotic_map,200,0.04111138233115419,-8.432689247662803e-06,0.26217123547591387,0.49,0.44,0.5992069043273849,0.5580955219962307
colored_noise,20,-0.04958687310950947,0.0,0.2234647150175057,0.45,0.15,1.2222948045616377,1.271881677671147
input_driven,100,-0.4355710972026328,-0.48630733266755305,0.2866804232357268,0.13,0.04,0.5627205558532336,0.9982916530558665
linear_stochastic,60,-0.0869655569423915,-0.047334083014705,0.16475468836091353,0.36666666666666664,0.11666666666666667,1.0160743930440161,1.1030399499864079
long_range,40,0.022963688450008908,0.006674779724125149,0.07979647149525605,0.575,0.25,1.0541643743723537,1.0312006859223448
nonlinear_stochastic,120,0.02264944966525369,0.01354911873829815,0.05074620649718943,0.675,0.18333333333333332,1.033467608643258,1.010818158978004
nonstationary,140,-0.12106991647582596,-0.0374473521935723,0.3936483422061551,0.3,0.2,1.1063053211227498,1.2273752375985758
oscillatory,120,-0.7456412789365058,-0.6892367779029702,0.42768241897162296,0.0,0.0,0.1488014059664942,0.8944426849029999
real_bridge,40,-0.5331247971191166,-0.48810530113110234,0.33622605910805176,0.025,0.025,0.46420707354587326,0.9973318706649901
