family,n,mean_advantage,mean_ci_low,mean_ci_high,median_advantage,median_ci_low,median_ci_high,win_rate_gt_threshold,win_rate_ci_low,win_rate_ci_high
overall,1000,-0.40876154274749227,-0.43378932945517384,-0.3855263819521944,-0.30949664552882183,-0.37844036556073396,-0.2629347742143404,0.036,0.025,0.047
chaotic_flow,200,-0.5635868591559094,-0.6170938472094107,-0.512926750179146,-0.6037987649580531,-0.692296470278512,-0.5467510696879962,0.05,0.02,0.08
chaotic_map,200,-0.5980280752140026,-0.6413130602971265,-0.5571297783893604,-0.7053406451785507,-0.7571715203310018,-0.6334872427471607,0.005,0.0,0.015124999999999885
colored_noise,20,-0.022536120254244243,-0.052265797885334773,0.013358456730526137,-0.0287915829704289,-0.06617708814147245,-0.001175730821596806,0.1,0.0,0.25
input_driven,100,-0.3460357824600417,-0.4007967817519583,-0.29578542931056606,-0.27233719321698324,-0.34373379803167,-0.2322892029290711,0.0,0.0,0.0
linear_stochastic,60,-0.14083288001016378,-0.20569574957575237,-0.08502175538487981,-0.05207366819887535,-0.0740753809463575,-0.03455590210078839,0.0,0.0,0.0
long_range,40,-0.02308992287928801,-0.040893090192027186,-0.0020286328990807827,-0.021634083308406098,-0.03132010519803805,-0.0179892436408575,0.05,0.0,0.125
nonlinear_stochastic,120,-0.016063945603923494,-0.021516787197218494,-0.010220003465509995,-0.017436415017569852,-0.02034306508079175,-0.014100112079254351,0.05,0.016666666666666666,0.09166666666666666
nonstationary,140,-0.19756178112296097,-0.2522206166771142,-0.14372524962541744,-0.08313232969758311,-0.16454639964246698,-0.048414156050151605,0.10714285714285714,0.06410714285714286,0.15714285714285714
oscillatory,120,-0.8535363556412848,-0.9362008751915109,-0.7686603218893605,-0.8958411181213639,-0.9197180324479726,-0.8414103222785762,0.0,0.0,0.0
