feature_set,feature,importance_mean,importance_std,corr_with_advantage,direction,ridge_coef,ridge_abs_coef,shap_mean_abs
all,spectral_entropy,0.19812619596733758,0.04952195373481114,0.49050059421088327,positive,0.12789795456878839,0.12789795456878839,
all,perm_entropy,0.18382314315072792,0.039079602119082534,0.5890592637373933,positive,0.08332310522213417,0.08332310522213417,
all,pred_nrmse_gbm,0.14627429244767728,0.027456247546193375,0.003742710499763969,positive,-0.02445842984644011,0.02445842984644011,
all,snr_db,0.106723422387763,0.029852998040704678,-0.18408103266714262,negative,0.019505564194301585,0.019505564194301585,
all,dom_freq,0.06519446998133532,0.011313849751074604,0.056052241692395775,positive,-0.005171878037442231,0.005171878037442231,
all,ac_timescale,0.06341733660510633,0.013946071482316693,0.039004388117277744,positive,0.15330386102373825,0.15330386102373825,
all,sample_entropy,0.06136067433672339,0.015854316477113578,0.5668888331285787,positive,0.09486487910660257,0.09486487910660257,
all,dfa_alpha,0.03173112450921577,0.023444610543362828,-0.09985139085756845,negative,0.08350419759788023,0.08350419759788023,
all,lyapunov,0.02023511710189684,0.007746624807069346,-0.17732456813503883,negative,-0.002394768470784362,0.002394768470784362,
all,nl_gain,0.018126566216737562,0.01435114978766083,-0.12385612964862866,negative,-0.1221734018670605,0.1221734018670605,
all,mem_capacity,0.015778972581597325,0.00939185408963591,-0.11321937167985639,negative,-0.05392265929301754,0.05392265929301754,
all,kpss_p,0.011769740206849672,0.0038291085477562,-0.2083513354743826,negative,-0.00870912696576904,0.00870912696576904,
all,r2_linear,0.007968194278063105,0.007218568102573437,-0.42377048793161176,negative,-0.0980085934173692,0.0980085934173692,
all,ami_first_min,0.007313372165923993,0.002625117102936149,-0.2368454845771042,negative,0.05197953823982846,0.05197953823982846,
all,zero_one_K,0.006264361296003576,0.0024992880294349745,0.3884759138461024,positive,0.08666588167515231,0.08666588167515231,
all,adf_p,0.0033107767136088774,0.006690960061025293,-0.04785651339815321,negative,0.001636779473926583,0.001636779473926583,
