feature,importance_mean,ci_low,ci_high,selection_rate,direction,corr_with_advantage
perm_entropy,0.1300664613837811,0.02657577283928654,0.31782935242979776,1.0,positive,0.28546163134109465
lyapunov,0.09294602962676476,0.09368945313565373,0.4266890050721801,1.0,negative,-0.24922872228416015
snr_db,0.06260396891733458,0.03322038522972712,0.2851676449277263,1.0,positive,0.06708306526077587
pred_nrmse_gbm,0.056894144832858776,0.027649046898100892,0.24814150743916055,1.0,positive,0.03054853925073481
spectral_entropy,0.055981842585184335,0.03234662478136872,0.21127637703266897,1.0,positive,0.13527936858336764
adf_p,0.055523968717561045,0.009342440417438584,0.19535152506957348,1.0,negative,-0.22598570960485767
ac_timescale,0.04993632359530971,0.022289801403347166,0.12561991330130007,1.0,positive,0.09271837357358752
nl_gain,0.0485434705761122,0.03417908634656658,0.1308837214369656,1.0,negative,-0.22869261955331033
ami_first_min,0.04266284516930979,0.0040188887016782615,0.05837051843252865,1.0,negative,-0.23085262171093615
r2_linear,0.03251609813761868,0.00583922070147171,0.07494495885282067,1.0,negative,-0.04188304240388754
zero_one_K,0.02267889723288023,0.02096317507635148,0.22790818496232323,1.0,positive,0.11646543612899564
sample_entropy,0.020645526274724095,0.031006815717501558,0.10489836118231838,1.0,positive,0.2515152831194672
dfa_alpha,0.01513262913690901,0.0175937549046113,0.241869917038113,1.0,negative,-0.14673692016376977
dom_freq,0.005383573878225441,-0.0017735127605796749,0.028268083708013467,1.0,positive,0.08080262477519326
mem_capacity,0.003289966649706335,0.0010865554026430126,0.009194942754270298,1.0,negative,-0.034047920336295556
kpss_p,-0.0006397597748936956,0.023755526332050782,0.10931239822989154,1.0,negative,-0.027933883406767827
