family,n,mean_advantage,median_advantage,std_advantage,win_rate_gt0,win_rate_gt_threshold,mean_nrmse_esn_matched,mean_nrmse_qrc_spin
overall,1000,-0.20305132197751363,-0.06730441019593555,0.3644560987046143,0.192,0.051,0.630327405359837,0.8333787273373507
chaotic_flow,200,-0.35781618519286146,-0.1648844219678805,0.5487308443028526,0.18,0.115,0.5230656593827124,0.880881844575574
chaotic_map,200,-0.2017961152193405,-0.09724104818765539,0.23671044450784323,0.095,0.005,0.27386191399703896,0.47565802921637945
colored_noise,20,-0.060238876211035665,0.0,0.19973485191698678,0.45,0.1,1.2191258313742075,1.279364707585243
input_driven,100,-0.20052344025995222,-0.1609056544711032,0.15255770078989195,0.06,0.0,0.6563292215750097,0.856852661834962
linear_stochastic,60,-0.06367598317062421,-0.0157266582850612,0.2430132493558614,0.3,0.1,0.926147444369105,0.9898234275397292
long_range,40,-0.017570155981775488,-0.01447446989105145,0.041385294031324675,0.3,0.025,1.0008840594843136,1.018454215466089
nonlinear_stochastic,120,0.006763923545008066,0.00092676777560825,0.03526605378652635,0.525,0.05,1.0064103339664627,0.9996464104214547
nonstationary,140,-0.2862966131506602,-0.06994209500550165,0.4887952493667564,0.18571428571428572,0.08571428571428572,1.0069973379957426,1.2932939511464028
oscillatory,120,-0.2173210008304779,-0.13809613715099645,0.2533087921795778,0.025,0.0,0.19644479551669444,0.4137657963471724
