family,n,mean_qrc_advantage,median_qrc_advantage,mean_predicted_qrc_advantage,qrc_useful_rate,near_tie_rate,baseline_preferred_rate,label_accuracy,mean_prob_qrc_useful,dominant_category
chaotic_map,200,0.04111138233115419,-8.432689247662803e-06,0.02373707907245646,0.44,0.28,0.28,0.78,0.4336255428636808,qrc_useful
chaotic_flow,160,-0.13620881263082502,-0.1716283893357885,-0.1525554873400607,0.25625,0.1375,0.60625,0.75625,0.24474433534987056,baseline_preferred
long_range,40,0.022963688450008908,0.006674779724125149,0.008459093519163064,0.25,0.625,0.125,0.65,0.21352286807117532,near_tie
nonstationary,140,-0.12106991647582596,-0.0374473521935723,-0.10647050854427713,0.2,0.32857142857142857,0.4714285714285714,0.7142857142857143,0.2092467233051478,baseline_preferred
nonlinear_stochastic,120,0.02264944966525369,0.01354911873829815,-0.004862734580089767,0.18333333333333332,0.7833333333333333,0.03333333333333333,0.775,0.15077005022925802,near_tie
colored_noise,20,-0.04958687310950947,0.0,-0.07714674431069307,0.15,0.45,0.4,0.7,0.19269197175216365,near_tie
linear_stochastic,60,-0.0869655569423915,-0.047334083014705,-0.10008151393793016,0.11666666666666667,0.4,0.48333333333333334,0.6333333333333333,0.13525011043106214,baseline_preferred
input_driven,100,-0.4355710972026328,-0.48630733266755305,-0.40508835780594976,0.04,0.15,0.81,0.91,0.06974683954936434,baseline_preferred
real_bridge,40,-0.5331247971191166,-0.48810530113110234,-0.5111435881224432,0.025,0.0,0.975,0.975,0.027564526938840216,baseline_preferred
oscillatory,120,-0.7456412789365058,-0.6892367779029702,-0.701152196055704,0.0,0.0,1.0,1.0,0.019405989004289952,baseline_preferred
