dataset_id,name,family,source,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_spin,qrc_advantage,actual_usefulness_label,predicted_qrc_advantage,predicted_usefulness_label,predicted_prob_qrc_useful,property_pc1,property_pc2,abs_prediction_error,prediction_correct_label
mackey_glass_tau34_s000:1100:800,mackey_glass_tau34_s000,chaotic_flow,synthetic,forecast,1100,800,15,0.5068485124720891,0.9739146448578584,-0.4670661323857692,baseline_preferred,-0.2143595059831679,baseline_preferred,0.03093477522909645,-2.0247295423456797,0.4006711089218328,0.25270662640260133,True
mackey_glass_tau42_s001:1101:800,mackey_glass_tau42_s001,chaotic_flow,synthetic,forecast,1101,800,17,0.9525856843179674,1.1884774312999915,-0.2358917469820243,baseline_preferred,-0.2811803134245966,baseline_preferred,0.06079073658693163,-2.646353408027663,0.5202459554097695,0.04528856644257229,True
mackey_glass_tau28_s002:1102:800,mackey_glass_tau28_s002,chaotic_flow,synthetic,forecast,1102,800,14,0.9693313211925382,1.1831633091348992,-0.213831987942361,baseline_preferred,-0.31826174410820457,baseline_preferred,0.05358501905617925,-2.3113337793026685,0.4603446489395222,0.10442975616584357,True
mackey_glass_tau29_s003:1103:800,mackey_glass_tau29_s003,chaotic_flow,synthetic,forecast,1103,800,12,0.660968500021904,0.9554502128784724,-0.2944817128565684,baseline_preferred,-0.2561581585642712,baseline_preferred,0.058147198063022563,-1.8721521793671996,0.5285747435064044,0.03832355429229717,True
mackey_glass_tau33_s004:1104:800,mackey_glass_tau33_s004,chaotic_flow,synthetic,forecast,1104,800,16,0.5990510789900714,0.8634077452142136,-0.2643566662241422,baseline_preferred,-0.2217844066055578,baseline_preferred,0.12325178047731934,-2.2804778135189987,0.38284403223237073,0.042572259618584435,True
mackey_glass_tau38_s005:1105:800,mackey_glass_tau38_s005,chaotic_flow,synthetic,forecast,1105,800,15,0.9880442017005138,0.7277887980575584,0.2602554036429554,qrc_useful,-0.2245835302262471,baseline_preferred,0.6240670594167871,-2.520157485760493,0.4557039142045328,0.4848389338692025,False
mackey_glass_tau17_s006:1106:800,mackey_glass_tau17_s006,chaotic_flow,synthetic,forecast,1106,800,9,0.4977827720972912,0.9631076160209632,-0.4653248439236719,baseline_preferred,-0.48281698056788414,baseline_preferred,0.027646309005345475,-2.0923975843486264,0.6691532248049678,0.01749213664421223,True
mackey_glass_tau19_s007:1107:800,mackey_glass_tau19_s007,chaotic_flow,synthetic,forecast,1107,800,10,0.1578988342893454,0.887484307745455,-0.7295854734561095,baseline_preferred,-0.3906739895261073,baseline_preferred,0.02081798624547126,-1.8491232296607394,0.6989669050795052,0.33891148393000214,True
mackey_glass_tau20_s008:1108:800,mackey_glass_tau20_s008,chaotic_flow,synthetic,forecast,1108,800,10,0.3682840985312319,0.7915091746656867,-0.4232250761344547,baseline_preferred,-0.4180352916367592,baseline_preferred,0.11685589853847714,-1.7954261965408245,0.4854851342090285,0.0051897844976955265,True
mackey_glass_tau31_s009:1109:800,mackey_glass_tau31_s009,chaotic_flow,synthetic,forecast,1109,800,14,0.5191671072568239,1.386249348529362,-0.867082241272538,baseline_preferred,-0.30509762344783664,baseline_preferred,0.03093477522909645,-2.7327334689702814,0.6729256425059118,0.5619846178247013,True
