dataset_id,name,family,source,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_spin,qrc_advantage,actual_usefulness_label,predicted_qrc_advantage,predicted_usefulness_label,predicted_prob_qrc_useful,property_pc1,property_pc2,abs_prediction_error,prediction_correct_label
mackey_glass_tau34_s000:1100:800,mackey_glass_tau34_s000,chaotic_flow,synthetic,forecast,1100,800,15,0.4377568930702853,0.9832308751693288,-0.5454739820990435,baseline_preferred,-0.5220822716584261,baseline_preferred,0.012541000184464825,-1.8946696149233004,-0.7056102716364467,0.023391710440617386,True
mackey_glass_tau42_s001:1101:800,mackey_glass_tau42_s001,chaotic_flow,synthetic,forecast,1101,800,17,1.143495891794976,1.1891038453226477,-0.0456079535276714,near_tie,-0.44902712725465044,baseline_preferred,0.009841733759847216,-2.5110865990925557,-0.6834899384680593,0.40341917372697905,False
mackey_glass_tau28_s002:1102:800,mackey_glass_tau28_s002,chaotic_flow,synthetic,forecast,1102,800,14,0.3165006438807083,1.14910460057717,-0.8326039566964616,baseline_preferred,-0.7301138161220981,baseline_preferred,0.0022033954976112243,-2.1720938321023406,-0.7514905966247997,0.10249014057436345,True
mackey_glass_tau29_s003:1103:800,mackey_glass_tau29_s003,chaotic_flow,synthetic,forecast,1103,800,12,0.4857721456951649,0.9536150204640992,-0.4678428747689343,baseline_preferred,-0.670878469376467,baseline_preferred,0.0034128518174220985,-1.6993653518518528,-0.5805357260756187,0.20303559460753268,True
mackey_glass_tau33_s004:1104:800,mackey_glass_tau33_s004,chaotic_flow,synthetic,forecast,1104,800,16,0.361645967900329,0.945146562287662,-0.583500594387333,baseline_preferred,-0.6808711188350309,baseline_preferred,0.004181281798276596,-2.152977788079857,-0.7597228748433137,0.09737052444769789,True
mackey_glass_tau38_s005:1105:800,mackey_glass_tau38_s005,chaotic_flow,synthetic,forecast,1105,800,15,0.3655549433752258,0.997062573921622,-0.631507630546396,baseline_preferred,-0.5692757052157498,baseline_preferred,0.008163846230638134,-2.3864099467328357,-0.7586183715206792,0.062231925330646254,True
mackey_glass_tau17_s006:1106:800,mackey_glass_tau17_s006,chaotic_flow,synthetic,forecast,1106,800,9,0.0246036123239802,0.9904568019460126,-0.9658531896220324,baseline_preferred,-0.7952953044287593,baseline_preferred,0.0014162423274903847,-1.9129620667782392,-0.4730094614962428,0.17055788519327308,True
mackey_glass_tau19_s007:1107:800,mackey_glass_tau19_s007,chaotic_flow,synthetic,forecast,1107,800,10,0.029234057535824,0.8939020768674962,-0.8646680193316721,baseline_preferred,-0.8233976196560268,baseline_preferred,0.0034128518174220985,-1.665477986109117,-0.34645127006425136,0.041270399675645386,True
mackey_glass_tau20_s008:1108:800,mackey_glass_tau20_s008,chaotic_flow,synthetic,forecast,1108,800,10,0.0705445557877389,0.887852852602232,-0.8173082968144931,baseline_preferred,-0.7853320755042502,baseline_preferred,0.004671563935769865,-1.632263850643137,-0.6259543917829095,0.031976221310242914,True
mackey_glass_tau31_s009:1109:800,mackey_glass_tau31_s009,chaotic_flow,synthetic,forecast,1109,800,14,0.4657842676239528,1.012535337311949,-0.5467510696879962,baseline_preferred,-0.7146852599630686,baseline_preferred,0.0044377306602815655,-2.5868351234422597,-0.5460651091899698,0.1679341902750724,True
mackey_glass_tau21_s010:1110:800,mackey_glass_tau21_s010,chaotic_flow,synthetic,forecast,1110,800,11,0.0948801024856206,0.9392837590914768,-0.8444036566058563,baseline_preferred,-0.7429217082631606,baseline_preferred,0.0034128518174220985,-1.7145829933452377,-0.5866506891579056,0.10148194834269564,True
mackey_glass_tau16_s011:1111:800,mackey_glass_tau16_s011,chaotic_flow,synthetic,forecast,1111,800,9,0.012207023346283,0.9057493057176552,-0.8935422823713721,baseline_preferred,-0.8851021564820737,baseline_preferred,0.0014162423274903847,-1.919243502622149,-0.3474687945438759,0.008440125889298433,True
mackey_glass_tau37_s012:1112:800,mackey_glass_tau37_s012,chaotic_flow,synthetic,forecast,1112,800,16,0.1839503218308087,0.9589506527895884,-0.7750003309587797,baseline_preferred,-0.5648737651152076,baseline_preferred,0.006903357524027427,-2.3541611626287335,-0.560831307961169,0.21012656584357214,True
mackey_glass_tau39_s013:1113:800,mackey_glass_tau39_s013,chaotic_flow,synthetic,forecast,1113,800,16,0.5277332838712315,0.9414707510572384,-0.4137374671860069,baseline_preferred,-0.5005004788911999,baseline_preferred,0.006459495810688124,-2.1170224087054126,-0.7779854259341711,0.08676301170519296,True
mackey_glass_tau27_s014:1114:800,mackey_glass_tau27_s014,chaotic_flow,synthetic,forecast,1114,800,13,0.2796904878818038,1.0453493118525652,-0.7656588239707613,baseline_preferred,-0.7537574638557306,baseline_preferred,0.0034128518174220985,-1.6129612189198632,-0.5234837055132736,0.011901360115030735,True
mackey_glass_tau25_s015:1115:800,mackey_glass_tau25_s015,chaotic_flow,synthetic,forecast,1115,800,12,0.0916011499644977,0.9864004977381492,-0.8947993477736513,baseline_preferred,-0.7059149325871126,baseline_preferred,0.0034128518174220985,-2.0807811365059337,-0.5609859046887038,0.18888441518653876,True
mackey_glass_tau36_s016:1116:800,mackey_glass_tau36_s016,chaotic_flow,synthetic,forecast,1116,800,16,0.1993576532427203,0.9552511098928596,-0.7558934566501393,baseline_preferred,-0.5460811691894245,baseline_preferred,0.006903357524027427,-2.491719624212229,-0.4975715417875357,0.20981228746071479,True
mackey_glass_tau23_s017:1117:800,mackey_glass_tau23_s017,chaotic_flow,synthetic,forecast,1117,800,11,0.1467612953050804,0.9931118801102736,-0.8463505848051931,baseline_preferred,-0.7681381523341727,baseline_preferred,0.0040406108021418955,-1.7408786411699204,-0.6297952757263732,0.07821243247102039,True
mackey_glass_tau42_s018:1118:800,mackey_glass_tau42_s018,chaotic_flow,synthetic,forecast,1118,800,18,0.9064852096054936,1.0582073793379052,-0.1517221697324117,baseline_preferred,-0.42333286249747326,baseline_preferred,0.009841733759847216,-2.3235908901144184,-0.7154321272100432,0.27161069276506156,True
mackey_glass_tau45_s019:1119:800,mackey_glass_tau45_s019,chaotic_flow,synthetic,forecast,1119,800,16,0.8095081297411824,1.0259585887733504,-0.216450459032168,baseline_preferred,-0.4581692001668144,baseline_preferred,0.004494717466154123,-2.449078618362963,-0.7084810355654104,0.2417187411346464,True
