feature,importance_mean,importance_std,corr_with_advantage,direction,ridge_coef,ridge_abs_coef,shap_mean_abs
perm_entropy,0.1300664613837811,0.04888275480275835,0.28546163134109465,positive,0.06952777403037283,0.06952777403037283,
lyapunov,0.09294602962676476,0.06327913132664585,-0.24922872228416015,negative,-0.0435696600199203,0.0435696600199203,
snr_db,0.06260396891733458,0.0298412765850114,0.06708306526077587,positive,0.0253053009687219,0.0253053009687219,
pred_nrmse_gbm,0.056894144832858776,0.03868062078721131,0.03054853925073481,positive,0.004231604373608783,0.004231604373608783,
spectral_entropy,0.055981842585184335,0.037795843660323514,0.13527936858336764,positive,0.07820427551544115,0.07820427551544115,
adf_p,0.055523968717561045,0.05283222294000669,-0.22598570960485767,negative,-0.10690584590883864,0.10690584590883864,
ac_timescale,0.04993632359530971,0.04142716557101297,0.09271837357358752,positive,0.062266032094356494,0.062266032094356494,
nl_gain,0.0485434705761122,0.03276088343235119,-0.22869261955331033,negative,-0.12959232234850454,0.12959232234850454,
ami_first_min,0.04266284516930979,0.05845721516783905,-0.23085262171093615,negative,-0.005779639077658475,0.005779639077658475,
r2_linear,0.03251609813761868,0.019762917793420202,-0.04188304240388754,negative,0.0029219394354162774,0.0029219394354162774,
zero_one_K,0.02267889723288023,0.02054149178482273,0.11646543612899564,positive,-0.05689094186859057,0.05689094186859057,
sample_entropy,0.020645526274724095,0.02514371042209035,0.2515152831194672,positive,0.010877784426020772,0.010877784426020772,
dfa_alpha,0.01513262913690901,0.01657485311216873,-0.14673692016376977,negative,0.022435002509143716,0.022435002509143716,
dom_freq,0.005383573878225441,0.0055369968159214656,0.08080262477519326,positive,0.013127441294613988,0.013127441294613988,
mem_capacity,0.003289966649706335,0.0014753324214664442,-0.034047920336295556,negative,-0.03641845603971808,0.03641845603971808,
kpss_p,-0.0006397597748936956,0.030157943129939087,-0.027933883406767827,negative,0.02254957255161107,0.02254957255161107,
