rho,leak,input_scale,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
0.7,0.1,0.3,0.7928805257214202,0.9729063935917527,0.8016660270204572,0.9818209671298248
0.7,0.1,1.0,0.8063443594205556,0.9797815233389827,0.7973045216098529,0.9863417965811806
0.7,0.1,2.0,0.8170846903272155,0.9777966559260133,0.804556868552915,0.9916409233349243
0.7,0.3,0.3,0.7445258507049161,0.9377877066985331,0.7340036987180271,0.934553522178666
0.7,0.3,1.0,0.754206497464917,0.9382592950960035,0.7437927852182765,0.9616932334926308
0.7,0.3,2.0,0.7740438447132116,0.9402411068490923,0.7470205169402744,0.9635516518148827
0.7,0.6,0.3,0.7532026878428226,0.9378967985077261,0.7336940343607745,0.8985397993691016
0.7,0.6,1.0,0.7474909747592251,0.9380535464109228,0.716397523089602,0.9200498200628755
0.7,0.6,2.0,0.7554973999963005,0.9244301305387704,0.7252273557960335,0.9316158199811047
0.7,1.0,0.3,0.767455189176397,0.9488141214417322,0.7352752079804326,0.9185065176638683
0.7,1.0,1.0,0.7826354137342005,0.9396684157867665,0.7327075015935088,0.8867169750863353
0.7,1.0,2.0,0.7901998517978299,0.9320221913148834,0.7497606338214325,0.8908946046233597
0.9,0.1,0.3,0.7998121713388123,0.967607176026904,0.809459508459533,0.9834556825858876
0.9,0.1,1.0,0.802652347120946,0.9823019162946426,0.8047798137709554,0.9836270677310168
0.9,0.1,2.0,0.8077321356272408,0.9794003938798673,0.8006281453280006,0.9920117742686375
0.9,0.3,0.3,0.7435064534911882,0.9402265371575778,0.7467910140440011,0.9487137320237107
0.9,0.3,1.0,0.7631371197844685,0.9382380334318764,0.7382681909929777,0.9618043106764549
0.9,0.3,2.0,0.7753931163666749,0.9394302556314752,0.7478459145794409,0.9570243929147281
0.9,0.6,0.3,0.7464553717255246,0.9440337440338741,0.7320165109967515,0.9145651968288411
0.9,0.6,1.0,0.7525197479828837,0.9418196668459662,0.7221806486019213,0.926511384767024
0.9,0.6,2.0,0.7603778117760136,0.9368360962538,0.7283936547889058,0.9435430222324833
0.9,1.0,0.3,0.7742541370835995,0.9642588303124817,0.7463800009255392,0.9383663474241734
0.9,1.0,1.0,0.7900490521776519,0.9475638955108239,0.7351790161450286,0.8952862745097764
0.9,1.0,2.0,0.794285134437872,0.9331812265423569,0.7493443164522909,0.8952637037856012
1.0,0.1,0.3,0.8113034004244079,0.9669882624032788,0.8031363837120558,0.9668029578570387
1.0,0.1,1.0,0.8021049943355281,0.982148495241056,0.8172016826275925,0.9855979611934987
1.0,0.1,2.0,0.8053908774721603,0.983596074625617,0.8008001563911338,0.9875286916851893
1.0,0.3,0.3,0.7395483344132319,0.9453891966903689,0.7589127603738168,0.9545034564281795
1.0,0.3,1.0,0.7639046797757562,0.9386330985776218,0.7386497350870331,0.9615472619886768
1.0,0.3,2.0,0.7758883965534202,0.9411096560230068,0.7484742445584982,0.9550326218136327
1.0,0.6,0.3,0.7412976920485659,0.9476695032564292,0.7367790904804488,0.9324330082009538
1.0,0.6,1.0,0.7553938406710831,0.9432263473727642,0.7243162498441388,0.9308984951116346
1.0,0.6,2.0,0.7637904304777496,0.9420870842200155,0.7279366583789852,0.9513872357714986
1.0,1.0,0.3,0.7819178737530584,0.97878830481962,0.7613696456529284,0.9563147196962051
1.0,1.0,1.0,0.790053695284337,0.9506156703152392,0.7378460691329448,0.9043691455813183
1.0,1.0,2.0,0.7979849853051265,0.9336183407917356,0.7491423393742899,0.900086920294975
1.1,0.1,0.3,0.8256086851156905,0.9848476210809681,0.8156516749359302,0.9817130048771308
1.1,0.1,1.0,0.7993028256922357,0.9805966181285448,0.8114171077603735,0.985758201122476
1.1,0.1,2.0,0.8004462149015485,0.9836665742276689,0.8059875322832458,0.9874905505395339
1.1,0.3,0.3,0.7426014351037966,0.9505998078121932,0.7675376163664156,0.9682744517607318
1.1,0.3,1.0,0.7652769636276338,0.9407952798075303,0.7404271650409124,0.9624168390544445
1.1,0.3,2.0,0.7771812399149112,0.9419063357762675,0.7475292877282598,0.9547795164386503
1.1,0.6,0.3,0.7373400288163743,0.9427198011087005,0.747803740345472,0.9604774585429852
1.1,0.6,1.0,0.7571060865745726,0.9447305823625312,0.7286802867864676,0.9366979350141841
1.1,0.6,2.0,0.7681205318153257,0.9434005185414855,0.7299918374633846,0.9493359618564621
1.1,1.0,0.3,0.7933007658916034,0.9903084657229961,0.779945797471669,0.9780113701044385
1.1,1.0,1.0,0.7923896138511082,0.9529620730528412,0.7449599255427997,0.916766652275538
1.1,1.0,2.0,0.8001717855655727,0.9378408055757204,0.7477039526049384,0.9073008111235619
1.3,0.1,0.3,0.8373604565671868,0.9912330070453297,0.820845698071879,0.9847104302485964
1.3,0.1,1.0,0.798721327566096,0.9819048932673352,0.8167479222978302,0.9867211884582792
1.3,0.1,2.0,0.8003257024579169,0.9862883874576638,0.8104254758585353,0.988367544229174
