name,family,source,task_type,seed,length,horizon,params
rossler_c4.60_s000,chaotic_flow,synthetic,forecast,150101300,800,22,"{'generator': 'rossler', 'c': 4.603833689367852, 'dt': 0.05, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
rossler_c4.28_s018,chaotic_flow,synthetic,forecast,150101318,800,22,"{'generator': 'rossler', 'c': 4.281530221197306, 'dt': 0.05, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
duffing_g0.41_w1.09_s000,chaotic_flow,synthetic,forecast,150103600,800,39,"{'generator': 'duffing', 'gamma': 0.4057544126375897, 'omega': 1.0876225600284186, 'dt': 0.05, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
duffing_g0.26_w1.20_s001,chaotic_flow,synthetic,forecast,150103601,800,22,"{'generator': 'duffing', 'gamma': 0.26272556012140397, 'omega': 1.1980918397976859, 'dt': 0.05, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
lorenz96_F10.30_s003,chaotic_flow,synthetic,forecast,150103803,800,10,"{'generator': 'lorenz96', 'F': 10.295148125285934, 'K': 8, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
chua_alpha10.41_s012,chaotic_flow,synthetic,forecast,150103912,800,67,"{'generator': 'chua_circuit', 'alpha': 10.410407709659106, 'dt': 0.01, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
chua_alpha11.09_s019,chaotic_flow,synthetic,forecast,150103919,800,77,"{'generator': 'chua_circuit', 'alpha': 11.085497619622908, 'dt': 0.01, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
henon_heiles_E0.107_s003,chaotic_flow,synthetic,forecast,150102703,800,30,"{'generator': 'henon_heiles', 'energy': 0.1074579119247665, 'px0': -0.09921274037205732, 'dt': 0.04, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
henon_heiles_E0.115_s032,chaotic_flow,synthetic,forecast,150102732,800,29,"{'generator': 'henon_heiles', 'energy': 0.11471804788747143, 'px0': -0.06925750446565096, 'dt': 0.04, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
rossler_c8.80_s013_v4_downsampled_aliased,chaotic_flow,synthetic,forecast,150170053,800,21,"{'generator': 'rossler', 'c': 8.799296593721156, 'dt': 0.05, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['downsampled_aliased'], 'perturbation_strength': 0.7631578947368421}"
rossler_c4.28_s018_v4_quantized_clipped_saturated,chaotic_flow,synthetic,forecast,150170058,800,21,"{'generator': 'rossler', 'c': 4.281530221197306, 'dt': 0.05, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['quantized_clipped_saturated'], 'perturbation_strength': 0.9605263157894737}"
duffing_g0.38_w1.14_s011_v4_missing_irregular,chaotic_flow,synthetic,forecast,150170491,800,36,"{'generator': 'duffing', 'gamma': 0.37564807165164865, 'omega': 1.1383646738409143, 'dt': 0.05, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['missing_irregular'], 'perturbation_strength': 0.6842105263157895}"
lorenz96_F5.52_s002_v4_downsampled_aliased,chaotic_flow,synthetic,forecast,150170522,800,14,"{'generator': 'lorenz96', 'F': 5.523364706114715, 'K': 8, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['downsampled_aliased'], 'perturbation_strength': 0.32894736842105265}"
lorenz96_F11.90_s011_v4_window_length_horizon,chaotic_flow,synthetic,forecast,150170531,800,11,"{'generator': 'lorenz96', 'F': 11.895432070252106, 'K': 8, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['window_length_horizon'], 'perturbation_strength': 0.6842105263157895}"
lorenz96_F7.61_s015_v4_outlier_spike,chaotic_flow,synthetic,forecast,150170535,800,4,"{'generator': 'lorenz96', 'F': 7.613325615860525, 'K': 8, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['outlier_spike'], 'perturbation_strength': 0.8421052631578947}"
