variant,n_qubits,J,h,dt,depth,topology,virtual_nodes,reupload,amplitude_damping,dephasing,coupling_mode,coupling_seed,feature_dim,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
qrc_d,6,0.5,1.0,0.15,5,complete,3,False,0.005,0.005,disordered,314159,63,1.0962108156373656,1.023806202517322,1.104906407026982,1.0208686810513923
qrc_d,6,0.5,1.0,0.15,5,complete,3,False,0.02,0.01,disordered,314159,63,1.1207872258602456,1.0299574342144489,1.124450927320923,1.0286967658645487
qrc_d,6,0.5,1.0,0.15,5,complete,3,False,0.05,0.02,disordered,314159,63,1.136630128003303,1.0419421610248323,1.140233594030931,1.0337006635504458
qrc_d,6,0.5,1.0,0.25,5,complete,3,False,0.005,0.005,disordered,314159,63,1.1096821355338546,1.036277077886277,1.1107643084850565,1.0215580921756255
qrc_d,6,0.5,1.0,0.25,5,complete,3,False,0.02,0.01,disordered,314159,63,1.1365761176690294,1.0436151426839095,1.142375677744647,1.0346791740720018
qrc_d,6,0.5,1.0,0.25,5,complete,3,False,0.05,0.02,disordered,314159,63,1.1512837473978843,1.0495732542546228,1.1589464700840004,1.0464857834489831
qrc_d,6,0.5,1.0,0.35,5,complete,3,False,0.005,0.005,disordered,314159,63,1.1374242438565592,1.043069442005433,1.1336671148629638,1.0340822654945727
qrc_d,6,0.5,1.0,0.35,5,complete,3,False,0.02,0.01,disordered,314159,63,1.154352139643993,1.0542738583245241,1.1573176194871497,1.0460721472517807
qrc_d,6,0.5,1.0,0.35,5,complete,3,False,0.05,0.02,disordered,314159,63,1.1646762039410632,1.06668398387271,1.1680989199569454,1.0509658729692464
qrc_d,6,1.0,1.0,0.15,5,complete,3,False,0.005,0.005,disordered,314159,63,1.092684907416364,1.0171721632328534,1.103736319375398,1.0203367802367636
qrc_d,6,1.0,1.0,0.15,5,complete,3,False,0.02,0.01,disordered,314159,63,1.1177996079485815,1.0322270954758692,1.1293345322823158,1.0271349277275585
qrc_d,6,1.0,1.0,0.15,5,complete,3,False,0.05,0.02,disordered,314159,63,1.1320649788262824,1.0346937568511836,1.1377967895517305,1.0301553971907405
qrc_d,6,1.0,1.0,0.25,5,complete,3,False,0.005,0.005,disordered,314159,63,1.1028993783453367,1.0249221385571659,1.1140618116864558,1.0293801078704363
qrc_d,6,1.0,1.0,0.25,5,complete,3,False,0.02,0.01,disordered,314159,63,1.1278494998640247,1.036824673173904,1.129170698317779,1.0290979464475494
qrc_d,6,1.0,1.0,0.25,5,complete,3,False,0.05,0.02,disordered,314159,63,1.1428728413579041,1.047005864178892,1.1486459386722747,1.0347573697214443
qrc_d,6,1.0,1.0,0.35,5,complete,3,False,0.005,0.005,disordered,314159,63,1.1167358707225774,1.033418695981117,1.1236934513438759,1.0282686369440428
qrc_d,6,1.0,1.0,0.35,5,complete,3,False,0.02,0.01,disordered,314159,63,1.134505215660078,1.0416291268737177,1.1410126463645096,1.0383572765119846
qrc_d,6,1.0,1.0,0.35,5,complete,3,False,0.05,0.02,disordered,314159,63,1.150044549367538,1.05326568017902,1.1560003237299956,1.0451940709864203
qrc_d,6,1.5,1.0,0.15,5,complete,3,False,0.005,0.005,disordered,314159,63,1.1202662674204924,1.029021521047714,1.1189499310003233,1.01984295752457
qrc_d,6,1.5,1.0,0.15,5,complete,3,False,0.02,0.01,disordered,314159,63,1.116063605971824,1.0289399995534305,1.1284495986538583,1.0254828409471837
qrc_d,6,1.5,1.0,0.15,5,complete,3,False,0.05,0.02,disordered,314159,63,1.1292645739850815,1.034403076580357,1.1336295248354187,1.024354326809846
qrc_d,6,1.5,1.0,0.25,5,complete,3,False,0.005,0.005,disordered,314159,63,1.1154400468637593,1.0303238529142034,1.1218901936696746,1.0237982257667757
qrc_d,6,1.5,1.0,0.25,5,complete,3,False,0.02,0.01,disordered,314159,63,1.1282478222830992,1.04085753541026,1.132589339328937,1.0285548038033494
qrc_d,6,1.5,1.0,0.25,5,complete,3,False,0.05,0.02,disordered,314159,63,1.136077227018246,1.0389489790813302,1.1437186385400655,1.033250378590013
qrc_d,6,1.5,1.0,0.35,5,complete,3,False,0.005,0.005,disordered,314159,63,1.1302039783862798,1.0442629642107653,1.130210241700733,1.0317392558065857
qrc_d,6,1.5,1.0,0.35,5,complete,3,False,0.02,0.01,disordered,314159,63,1.1386503234341627,1.0501169842492888,1.143457281743793,1.039767956008711
qrc_d,6,1.5,1.0,0.35,5,complete,3,False,0.05,0.02,disordered,314159,63,1.1459828190349342,1.0521314646463318,1.1525951401838843,1.041175899046679
