name,family,source,task_type,seed,length,horizon,params
chua_alpha9.62_s000_v4_window_length_horizon,chaotic_flow,synthetic,forecast,150170027,800,36,"{'generator': 'chua_circuit', 'alpha': 9.620453317521978, 'dt': 0.01, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['window_length_horizon'], 'perturbation_strength': 0.25}"
tent_mu1.937_s000,chaotic_map,synthetic,forecast,150103000,800,1,"{'generator': 'tent_map', 'mu': 1.9368592951133659, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
v4_colored_noise_b-0.416_000,colored_noise,synthetic,forecast,150167000,800,1,"{'generator': 'colored_noise', 'beta': -0.4164372952481661, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
mackey_glass_tau26_s000_v4_observation_noise,delay_dynamics,synthetic,forecast,150170000,800,11,"{'generator': 'mackey_glass', 'tau': 26, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['observation_noise'], 'perturbation_strength': 0.25, 'snr_db': 9.0}"
v4_student_t_ar_002,heavy_tail_jump,synthetic,forecast,150165002,800,1,"{'generator': 'student_t_ar', 'phi': 0.15878204310721988, 'df': 2.529465644887993, 'sigma': 0.7261038915752849, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
channel_equalization_n0.041_s000,input_driven_memory,synthetic,input_driven,150102800,800,1,"{'generator': 'channel_equalization', 'noise_std': 0.0407121348607425, 'drive_scale': 0.9400833763751818, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
intermittent_p0.21_s000,intermittent_sparse,synthetic,forecast,150105100,800,1,"{'generator': 'intermittent_demand', 'p_event': 0.2139570373628473, 'burst_scale': 1.8221090198416987, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
ar3_s000_v4_outlier_spike,linear_stochastic,synthetic,forecast,150170010,800,1,"{'generator': 'ar', 'phi': [-0.2603986718436809, -0.009595649277665362, -0.18219243127596196], 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['outlier_spike'], 'perturbation_strength': 0.25}"
fbm_h0.721_s000,long_range,synthetic,forecast,150102300,800,1,"{'generator': 'fbm', 'H': 0.7214330379401562, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
trend_seasonal_s48_000,multiscale_composite,synthetic,forecast,150105200,800,9,"{'generator': 'trend_seasonal', 'slope': 0.0015824820662134718, 'season': 48, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
v4_bilinear_001,nonlinear_autoregressive,synthetic,forecast,150169001,800,2,"{'generator': 'bilinear', 'a': 0.440445556873515, 'b': 0.8885419684918109, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
van_der_pol_mu2.55_s000,oscillatory_quasiperiodic,synthetic,forecast,150103700,800,31,"{'generator': 'van_der_pol', 'mu': 2.552711101365441, 'dt': 0.05, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
regime_switch_ar_p0.033_s000,regime_switching,synthetic,forecast,150102600,800,1,"{'generator': 'regime_switch_ar', 'p_switch': 0.03268258015789145, 'phis': [(0.8523440635313295, 0.012835021625190235), (-0.441426941173879, 0.3128350216251902)], 'sigmas': [0.25, 0.5], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
v4_seasonal_ar_s086_p0.75_001,seasonal_calendar,synthetic,forecast,150162001,800,5,"{'generator': 'seasonal_ar', 'season': 86, 'seasonal_phi': 0.7477075154467699, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_unit_root_d0.001_s000,unit_root_trend,synthetic,forecast,150164000,800,96,"{'generator': 'arima_random_walk', 'drift': 0.0013573046980270946, 'sigma': 0.5740888911126557, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_egarch_vol_001,volatility_heteroskedastic,synthetic,forecast,150171001,800,1,"{'generator': 'egarch', 'alpha': 0.09764817710773273, 'beta': 0.9022056093750501, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
