dataset_id,name,family,source,task_type,seed,length,ext_sample_entropy_m2,ext_approx_entropy_m2,ext_lz_complexity,ext_hurst_rs,ext_psd_slope,ext_spectral_centroid,ext_spectral_bandwidth,ext_spectral_rolloff85,ext_zero_crossing_rate,ext_turning_point_rate,ext_outlier_rate_3sigma,ext_spike_rate_mad6,ext_arch_lm5,ext_volatility_ac1,ext_trend_strength,ext_seasonality_strength,ext_changepoint_count,ext_recurrence_rate,ext_recurrence_determinism,ext_fnn_fraction,ext_corr_dim_approx,ext_bds_like,ext_zero_fraction,ext_cv2_positive
mackey_glass_tau34_s000:1100:800,mackey_glass_tau34_s000,chaotic_flow,synthetic,forecast,1100,800,0.3795827156833422,0.41703337513658667,0.9041115177913805,0.8764995296935479,-8.084532847799993,0.013455061587491728,0.008816781175334904,0.017578125,0.03754693366708386,0.06516290726817042,0.0,0.0,794.9690092820421,0.9396509898695188,0.0004053682753366594,0.9789918727331508,0.0,0.09972003513928457,0.8432405730281575,0.05300859598853868,1.373105977210008,0.19070144102419614,0.0,0.12163577149262063
mackey_glass_tau42_s001:1101:800,mackey_glass_tau42_s001,chaotic_flow,synthetic,forecast,1101,800,0.3454200432154926,0.3847110613916933,0.83178259636807,0.9195377058027069,-8.27972619941025,0.01122716473908781,0.007875533618613153,0.015625,0.026282853566958697,0.06516290726817042,0.0,0.0,794.9748853746369,0.9392509209204524,0.006876156255978594,0.979041235482264,0.0,0.09972003513928457,0.8513090729458258,0.04727793696275072,1.3155673536852517,0.19378915204988859,0.0,0.12004952734122601
mackey_glass_tau28_s002:1102:800,mackey_glass_tau28_s002,chaotic_flow,synthetic,forecast,1102,800,0.41968045201164594,0.45285108116486583,0.9161663380285989,0.8301084919153129,-8.129146762642785,0.015424908440594196,0.009495465036304981,0.021484375,0.0425531914893617,0.06516290726817042,0.0,0.0,794.9717116368546,0.9300308045211331,0.0076873190225666965,0.9754561329579389,0.0,0.09972003513928457,0.8239749711839288,0.0673352435530086,1.423834028110825,0.18602311407010527,0.0,0.10650933811532276
mackey_glass_tau29_s003:1103:800,mackey_glass_tau29_s003,chaotic_flow,synthetic,forecast,1103,800,0.4609845755595734,0.49593553633520226,0.9161663380285989,0.8383034347204568,-8.50972158954351,0.016586660033637946,0.01043179596926866,0.01953125,0.03754693366708386,0.07518796992481203,0.0,0.0,794.9578247246365,0.9202445539806683,0.010838228850707954,0.9694101871561486,0.0,0.09972003513928457,0.8099785937757287,0.08882521489971347,1.4916647683597413,0.18078505350471247,0.0,0.08105838515576513
mackey_glass_tau33_s004:1104:800,mackey_glass_tau33_s004,chaotic_flow,synthetic,forecast,1104,800,0.37382715962464785,0.42181129329660294,0.8800018773169437,0.9185336577475482,-8.737216666524978,0.013466654811513636,0.008785601865750385,0.017578125,0.03254067584480601,0.07393483709273183,0.0,0.0,794.9685724831745,0.9385778585561558,0.0005555726821618867,0.9758323350193746,1.0,0.09972003513928457,0.8470278280915527,0.05730659025787966,1.3588229419522606,0.18955992949083975,0.0,0.11345736240066158
mackey_glass_tau38_s005:1105:800,mackey_glass_tau38_s005,chaotic_flow,synthetic,forecast,1105,800,0.3920753333548842,0.4259120514717347,0.9402759785030357,0.8871775003388479,-8.664523867031686,0.014277335082212315,0.009872560169901116,0.01953125,0.03379224030037547,0.06766917293233082,0.0,0.0,794.9681357303265,0.9298184348848605,0.0013779629674787186,0.9774502507248269,1.0,0.09972003513928457,0.8420879301827762,0.050143266475644696,1.3728953287916443,0.18616075320185888,0.0,0.10833032504691541
mackey_glass_tau17_s006:1106:800,mackey_glass_tau17_s006,chaotic_flow,synthetic,forecast,1106,800,0.4770217324277336,0.5123692238879278,0.9402759785030357,0.6563602921593193,-8.380643038410804,0.02152057753418844,0.009100037296124132,0.02734375,0.04630788485607009,0.07393483709273183,0.0,0.0,794.924784063766,0.9200399733340077,0.00018602462500394434,0.9568452008647295,0.0,0.09972003513928457,0.8134365223118722,0.07736389684813753,1.5289880043227384,0.16897391204902984,0.0,0.06312658910490587
mackey_glass_tau19_s007:1107:800,mackey_glass_tau19_s007,chaotic_flow,synthetic,forecast,1107,800,0.4508480178620145,0.45426709570157264,0.9282211582658174,0.7309813084963912,-8.384585076563921,0.01946298654204182,0.009449576587341964,0.02734375,0.04630788485607009,0.07142857142857142,0.0,0.0,794.9460638843275,0.9222739137849427,4.9135596580041074e-05,0.9568640448810428,0.0,0.09972003513928457,0.8164004610571381,0.08739255014326648,1.4827642389219189,0.1773204317263996,0.0,0.07125517482618247
mackey_glass_tau20_s008:1108:800,mackey_glass_tau20_s008,chaotic_flow,synthetic,forecast,1108,800,0.4669221769041789,0.4749437367955407,0.9643856189774724,0.7232979756350094,-8.415819523130764,0.01899252615535049,0.00958392795579424,0.025390625,0.04755944931163955,0.07268170426065163,0.0,0.0,794.9491482915714,0.9211286983015027,8.275776482491448e-05,0.9605059231382512,0.0,0.09972003513928457,0.8124485427301169,0.08882521489971347,1.5094121473470814,0.17607729288808358,0.0,0.07957016005307767
mackey_glass_tau31_s009:1109:800,mackey_glass_tau31_s009,chaotic_flow,synthetic,forecast,1109,800,0.3737241981800097,0.4157318845109814,0.8679470570797253,0.8296453851967353,-7.866570170527513,0.013608288755853635,0.007864199189709098,0.01953125,0.03754693366708386,0.05764411027568922,0.0,0.0,794.9716033217595,0.9399177764299428,0.0052478348314914935,0.9772197623191706,0.0,0.09972003513928457,0.8435698995554092,0.0673352435530086,1.3391237993248113,0.18764628516151344,0.0,0.13752288773311472
mackey_glass_tau21_s010:1110:800,mackey_glass_tau21_s010,chaotic_flow,synthetic,forecast,1110,800,0.43775144130900934,0.4531489032186333,0.9764404392146909,0.7653048352223891,-8.34625244833854,0.018647378204142397,0.009917186737246215,0.025390625,0.05006257822277847,0.07518796992481203,0.0,0.0,794.9542185592935,0.9231006571202094,0.00014755379052433515,0.9626725356344609,0.0,0.09972003513928457,0.8261155936110653,0.08452722063037249,1.4568018281195412,0.18011676024036224,0.0,0.0791803054019381
mackey_glass_tau16_s011:1111:800,mackey_glass_tau16_s011,chaotic_flow,synthetic,forecast,1111,800,0.4613582177109169,0.4970181213874607,0.8800018773169437,0.628288379631698,-8.475733776675455,0.02330734410353756,0.008624305369608457,0.0234375,0.04630788485607009,0.07518796992481203,0.0,0.0,794.9073505539991,0.9151420617344547,0.0009732292775443963,0.9529571861556234,0.0,0.09972003513928457,0.8229869916021736,0.08022922636103152,1.4930505168711947,0.16689344954325036,0.0,0.05816772033869692
mackey_glass_tau37_s012:1112:800,mackey_glass_tau37_s012,chaotic_flow,synthetic,forecast,1112,800,0.33073733013469475,0.37693698938199427,0.8920566975541621,0.9389792906791237,-8.008198914034814,0.012517688240890187,0.008118390307828627,0.015625,0.030037546933667083,0.06265664160401002,0.0,0.0,794.9718254650273,0.9460144721123598,0.001095557128531599,0.9828704258375541,0.0,0.09972003513928457,0.8602008891816236,0.04871060171919771,1.2865085443442656,0.1928481856600018,0.0,0.14185884782843367
mackey_glass_tau39_s013:1113:800,mackey_glass_tau39_s013,chaotic_flow,synthetic,forecast,1113,800,0.3904886191812844,0.4228770261097754,0.9161663380285989,0.890061483703264,-8.579630598139909,0.013048190711720411,0.00949138477424363,0.017578125,0.028785982478097622,0.06892230576441102,0.0,0.0,794.9667146286481,0.9268462439375181,0.009260508947340429,0.9781004352858739,0.0,0.09972003513928457,0.8448872056644162,0.054441260744985676,1.3884948326364996,0.18925592526666682,0.0,0.1121985117870261
