dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
mackey_glass_tau45_s005:1105:800,mackey_glass_tau45_s005,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 45}",1105,v2,1,800,18,0.0,False,-5.075305255429287e-17,1.0,-0.2506851369984444,-1.0861304956363271,18.0,20.0,,False,0.9999867183950629,-0.0284906196210295,14.836661702473952,True,0.3427423404057208,True,0.48836583699494424,True,0.39762947112574454,0.005357142857142857,3.565764903919314e-07,0.001,0.912140894863139,0,1.563106126740682,True,0.406835821562116,0.28711885080918176,0.9711645163951915,0.6023705288742555,0.003644393630914289,0.1688309842000769,-0.1651865905691626,,,,,1.0,0.8857692842062405,1.0251663444344772,1.0036305351375128,1.1213988090766316,0.021535809296964414
mackey_glass_tau45_s012:1112:800,mackey_glass_tau45_s012,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 45}",1112,v2,1,800,17,0.0,False,1.7129155237073845e-16,1.0,-0.4248376810599866,-0.834604194224184,17.0,17.0,,False,0.9999616495349098,-0.011765255377529815,13.777903327306365,True,0.3765666669100243,True,0.5376059272538495,True,0.4220747331963978,0.005357142857142857,2.2602337498191854e-07,0.001,0.95,0,1.5500098460862721,True,0.3965138220040514,0.3275223557348721,0.9375398093631552,0.5779252668036021,0.006192775233301191,0.1086444008802107,-0.1024516256469095,,,,,1.0,0.9148280283861546,0.8482809116164013,0.8253895745829096,0.849141953625347,0.022891337033491665
mackey_glass_tau37_s014:1114:800,mackey_glass_tau37_s014,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 37}",1114,v2,1,800,14,0.0,False,1.3322676295501878e-16,1.0,-0.4471655940626199,-0.7712273484012906,14.0,14.0,,False,0.9999714593255568,-0.010950178915895337,19.454020135561937,True,0.3018887129430305,True,0.4356194157344998,True,0.4149168705803274,0.007142857142857143,3.1324857937081785e-07,0.001,0.95,0,1.4736664530463734,True,0.39067289697174523,0.35539487724424634,0.9366308091984412,0.5850831294196726,0.005342347278423635,0.10477938533098263,-0.099437038052559,,,,,1.0,0.7188993547722429,0.8295109293298181,0.9583727387500875,0.8955840310345661,-0.12886180942026948
mackey_glass_tau30_s015:1115:800,mackey_glass_tau30_s015,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 30}",1115,v2,1,800,14,0.0,False,2.6645352591003756e-16,1.0,-0.3983269797739785,-0.8046633429253633,14.0,15.0,,False,0.9999455422910297,-0.007324478417938929,10.122764246306504,True,0.3616330328393072,True,0.11135096806516236,True,0.334416342129348,0.008928571428571428,5.025113459113167e-07,0.001,0.9332381601780794,0,1.504636184579192,True,0.3887205016338654,0.3520473785239172,0.9265919155514327,0.665583657870652,0.007379546664282017,0.08590073414650885,-0.07852118748222683,,,,,1.0,0.454537252981448,0.30034575691203047,0.5067005025178187,0.2577369170367007,-0.20635474560578826
mackey_glass_tau29_s020:1120:800,mackey_glass_tau29_s020,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 29}",1120,v2,1,800,12,0.0,False,-2.6328146012539427e-16,1.0,-0.5254496810044601,-0.5481354133586653,12.0,18.0,,False,0.9999592218534801,-0.020505330084257478,13.137216320716927,True,0.4117021039367507,True,0.7885114553173224,True,0.4108706964103395,0.014285714285714285,3.280201995311522e-07,0.001,0.95,0,1.387477554111462,True,0.40450998641114727,0.4030860582155708,0.8891545884749791,0.5891293035896605,0.006385776892430251,0.14333913712164387,-0.13695336022921362,,,,,1.0,0.6190964666478483,0.428452359867228,0.6561123334483177,0.5532588735047183,-0.22765997358108964
mackey_glass_tau38_s031:1131:800,mackey_glass_tau38_s031,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 38}",1131,v2,1,800,15,0.0,False,1.9032394707859825e-16,1.0,-0.44894360814803136,-0.7532757346051415,15.0,12.0,,False,0.9999591831307753,-0.010294066234526555,13.325374754239231,True,0.39306064128821444,True,0.6643439223102665,True,0.43537702562731334,0.007142857142857143,4.069134262652077e-07,0.001,0.95,0,1.5045371443993383,True,0.408975151342604,0.3826969501038547,0.948879535149036,0.5646229743726867,0.006388808122394091,0.10166062710681686,-0.09527181898442277,,,,,1.0,0.7068128034956789,0.5542838423946502,0.6426985105568609,0.6804358271124491,-0.08841466816221066
mackey_glass_tau17_s034:1134:800,mackey_glass_tau17_s034,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 17}",1134,v2,1,800,9,0.0,False,-1.7763568394002506e-16,1.0,-0.44917219526447555,-0.7668488759486802,9.0,12.0,,False,0.9999500048937928,-0.015064736571353321,15.017522175132797,True,0.37355050445538096,True,0.7710082062894283,True,0.3470268322381359,0.019642857142857142,3.5448014305822555e-07,0.001,0.95,0,1.2064850236449922,True,0.42598565091526996,0.4205746312478354,0.7432830579903152,0.6529731677618641,0.007070721759989056,0.12294198500740292,-0.11587126324741386,,,,,1.0,0.35112262370021063,0.01829454468564454,0.13190324504169107,0.12511324308476915,-0.11360870035604653
mackey_glass_tau44_s038:1138:800,mackey_glass_tau44_s038,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 44}",1138,v2,1,800,16,0.0,False,-2.981741837564706e-16,1.0,-0.5189975776036657,-0.7043449524799055,16.0,14.0,,False,0.9999511729500848,-0.012561115971751358,12.917008354529894,True,0.37533372875224985,True,0.3211832864325187,True,0.4140163303833149,0.012499999999999999,3.241927881342103e-07,0.001,0.95,0,1.53123509315843,True,0.4232200372496992,0.3438207518358089,0.9768215744774079,0.5859836696166851,0.0069876355024535205,0.1122940026077375,-0.10530636710528399,,,,,1.0,0.9018914100308532,1.062498113371764,0.9491894130527957,1.2121203415448354,0.11330870031896823
mackey_glass_tau28_s042:1142:800,mackey_glass_tau28_s042,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 28}",1142,v2,1,800,14,0.0,False,2.0301221021717148e-16,1.0000000000000002,-0.29605092935308347,-0.9597304292236482,14.0,13.0,,False,0.9999611183279962,-0.003286503338544633,12.89167499901312,True,0.30124685691662445,True,0.4922611641344131,True,0.31640866407144574,0.010714285714285714,3.6453908601709135e-07,0.001,0.95,0,1.5190382274604666,True,0.3835324451658053,0.30854207675586665,0.9432549069433006,0.6835913359285543,0.006235516979677354,0.057666151341566385,-0.05143063436188903,,,,,1.0,0.7798443648114575,0.20604026380887422,0.6069634578906489,0.19992214791635693,-0.4009231940817747
mackey_glass_tau28_s052:1152:800,mackey_glass_tau28_s052,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 28}",1152,v2,1,800,12,0.0,False,-3.3623897317219026e-16,1.0,-0.6374095077730363,-0.4960890605065167,12.0,12.0,,False,0.999972299471108,-0.002884173687784708,13.049841034755145,True,0.3929991999323748,True,0.9300754518798086,True,0.4734942643710727,0.012499999999999999,8.807508619073888e-07,0.001,0.95,0,1.371352726256072,True,0.4166362444469827,0.43527518041503394,0.8781584741781716,0.5265057356289273,0.00526312919203147,0.05396178478031153,-0.04869865558828006,,,,,1.0,0.6600766932907028,0.6854264170837627,0.9376875553333314,0.4771802400833545,-0.25226113824956864
