feature,importance_mean,importance_std,corr_with_advantage,direction,ridge_coef,ridge_abs_coef,shap_mean_abs
ext_psd_slope,0.18399313003625503,0.054583436428629804,0.25698864010512873,positive,-0.06107714785739214,0.06107714785739214,
nl_gain,0.09294081947319832,0.038506709845463574,-0.10521979242906415,negative,-0.1100233490073764,0.1100233490073764,
ext_volatility_ac1,0.08261548082598982,0.02583902390085941,-0.22278885231315487,negative,-0.009797480827865987,0.009797480827865987,
ext_trend_strength,0.07084301836072598,0.029515950292670554,-0.015788012828550108,negative,0.003727132353892765,0.003727132353892765,
lyapunov,0.06551414024997017,0.026949134329177383,-0.19786477820811801,negative,-0.02600182949006739,0.02600182949006739,
ext_spectral_centroid,0.05305132475599519,0.017572994142560798,0.21942547745416152,positive,0.06875436635675441,0.06875436635675441,
snr_db,0.03768892014049004,0.019683382227827544,0.09973886997353035,positive,0.03979312274626862,0.03979312274626862,
pred_nrmse_gbm,0.03655097482939786,0.009432691822231543,0.006695664307409496,positive,0.002021260544380818,0.002021260544380818,
r2_linear,0.035685858227544054,0.019812199911472587,-0.1262646894379624,negative,-0.01887193544080715,0.01887193544080715,
perm_entropy,0.03286719362933736,0.007919048684691832,0.2579191213044637,positive,0.12313311715827063,0.12313311715827063,
ac_timescale,0.031093518626984028,0.01226235072340515,0.1034419591916296,positive,0.04703381073839165,0.04703381073839165,
ext_recurrence_determinism,0.028508857959408752,0.02054330442347269,-0.2556037726806234,negative,-0.01643195317078355,0.01643195317078355,
sample_entropy,0.023451023959177496,0.018372383078880943,0.20121177194648326,positive,-0.02148389641924825,0.02148389641924825,
spectral_entropy,0.018570668243103574,0.005511228467515097,0.14234580053908585,positive,0.03336104320495105,0.03336104320495105,
adf_p,0.014296804450986139,0.011158938071204149,-0.1689113153344572,negative,-0.06912152905055333,0.06912152905055333,
ami_first_min,0.013070420004168007,0.010769320833695462,-0.2772948383460742,negative,-0.03248234841484883,0.03248234841484883,
kpss_p,0.012720854824435648,0.004777774340377672,-0.009746124604218786,negative,0.023682394012129196,0.023682394012129196,
dfa_alpha,0.012483280720628872,0.006096345288673142,-0.23304064565336802,negative,0.01594629685461361,0.01594629685461361,
zero_one_K,0.012147227312655162,0.0057312814746302565,0.14572566434985615,positive,-0.012603632961381311,0.012603632961381311,
dom_freq,0.011267006703212762,0.00887741660205354,0.15562414644182415,positive,-0.00904301494608323,0.00904301494608323,
mem_capacity,0.009012038904543787,0.0024466048827020193,-0.043044914659190345,negative,-0.03193193863318476,0.03193193863318476,
ext_lz_complexity,0.008911473316227398,0.006204759943455107,0.17337656386959308,positive,-0.020051955241228915,0.020051955241228915,
ext_changepoint_count,0.003730585984597433,0.0020518731941979052,0.08381138361317697,positive,0.012405163196235181,0.012405163196235181,
ext_arch_lm5,0.002511896328121409,0.0023405850457431164,-0.20151616887137877,negative,0.014492768422470556,0.014492768422470556,
ext_recurrence_rate,0.0012548442849009598,0.0005357770493835043,0.024540332437660278,positive,-0.00965297245376839,0.00965297245376839,
