dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
linear_memory_lag01_s400:2100:800,linear_memory_lag01_s400,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 1, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2100,v2,1,800,1,0.0,False,7.93016446160826e-18,0.9999999999999999,0.007192039316751925,-1.1423908868818635,1.0,3.0,18.992650709085005,True,0.999571823272007,-0.0006440083113239403,7.645211885123889,True,0.14111612102442705,True,0.9990009695162849,True,0.9195922416159298,0.10535714285714286,0.5335084985175956,0.001,0.6572984558335896,0,0.4314797407136263,True,0.9935349383426716,2.1832383353614793,0.5348248641893624,0.08040775838407022,0.020692431659738938,0.03274423673437762,-0.01205180507463868,,1.0,,,,0.017500707900716297,0.02140261512217267,0.3788996997094061,0.02413518402179954,-0.35749708458723345
linear_memory_lag04_s404:2104:800,linear_memory_lag04_s404,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 4, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2104,v2,1,800,1,0.0,False,-2.5376526277146434e-17,1.0,-0.08796541385443785,-1.2987516902355514,1.0,2.0,15.995625313207686,True,0.9997114674663828,-0.0009826813335782614,7.7074209437216235,True,0.1531183454850642,True,0.9973874574658723,True,0.9219691161599312,0.37142857142857144,0.557025199519686,0.001,0.9093306492070744,0,0.5847410260050333,True,0.9971986208666939,2.0836619465374486,0.6446216822644383,0.07803088384006884,0.01698624542437767,0.035654086262242535,-0.018667840837864866,,4.0,,,,0.017526671575675615,0.5294963028493901,0.828303350935839,0.025075044333171398,-0.29880704808644887
linear_memory_lag13_s416:2116:800,linear_memory_lag13_s416,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 13, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2116,v2,1,800,1,0.0,False,-3.172065784643304e-17,1.0,0.14094253865248688,-1.1702363785792385,1.0,3.0,6.997707667859583,True,0.9996550318407249,-0.0006704380989395187,-0.5855504118345256,True,0.1428169481231492,True,0.9987775320255755,True,0.9248012951848025,0.05714285714285714,0.5640545371073308,0.001,0.8529269209799865,0,0.5600901923941333,True,0.9908394538370765,2.2407096892759584,0.513458745369694,0.07519870481519753,0.018573318477726666,0.03186543987166281,-0.013292121393936141,,13.0,,,,0.017138708900654,0.9313228948357669,1.012771862735303,0.023981567449553626,-0.08144896789953615
linear_memory_lag20_s417:2117:800,linear_memory_lag20_s417,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 20, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2117,v2,1,800,1,0.0,False,6.3441315692866086e-18,1.0,-0.04279527846021554,-1.2285992676655162,1.0,2.0,0.0,True,0.9997414387468558,-0.0009133635003309992,-1.0152940112615207,True,0.13594283413087996,True,0.9976261367390925,True,0.9271472558323888,0.3678571428571428,0.5610375712591478,0.001,0.09260576600898747,0,0.49392764774980413,True,0.9942013057213037,2.120263536200091,0.5760646301267917,0.07285274416761123,0.016079839960152983,0.034233386532377924,-0.01815354657222494,,20.0,,,,1.0240060992424411,1.039744323884302,1.0136327655736457,1.025275353847204,0.02611155831065637
linear_memory_lag22_s428:2128:800,linear_memory_lag22_s428,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 22, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2128,v2,1,800,1,0.0,False,-9.516197353929913e-18,1.0,0.04670440032790752,-1.225610904754493,1.0,3.0,0.0,True,0.9996212720098696,-0.0009396249363943232,-0.4749515319126341,True,0.13994789090388254,True,0.9994985265322865,True,0.9237858537649887,0.19642857142857142,0.5338171261193405,0.001,0.7737443495399068,0,0.4913036544552884,True,0.9937413007476691,2.1665876078743294,0.5550309281544461,0.07621414623501133,0.019460934975749578,0.03630913007116334,-0.016848195095413764,,22.0,,,,1.0255025364740264,1.0212422236594787,1.0161392190028635,1.0272431766848362,0.005103004656615173
linear_memory_lag25_s432:2132:800,linear_memory_lag25_s432,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 25, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2132,v2,1,800,1,0.0,False,-1.2688263138573217e-17,1.0,-0.06189590230263762,-1.2970593726571373,1.0,3.0,0.0030338618998969613,True,0.9996845835457681,-0.0011069632360311,-0.3576671847656111,True,0.1553963650107135,True,0.997958933881125,True,0.9214022705943647,0.10178571428571428,0.5676159043335365,0.001,0.9454627816738179,0,0.46619879768350087,True,0.9977254703379638,2.2402029753051464,0.522838245600221,0.07859772940563525,0.01775996774298609,0.03771444935648655,-0.019954481613500462,,25.0,,,,1.0206179722067938,1.0005122872149095,1.0091480048297066,0.9999956560573141,-0.00863571761479709
linear_memory_lag14_s434:2134:800,linear_memory_lag14_s434,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 14, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2134,v2,1,800,1,0.0,False,1.586032892321652e-17,0.9999999999999999,0.03151408799884512,-1.2508183493733216,1.0,3.0,5.997974901368366,True,0.9996632925801793,-0.0008059255399199827,-0.5101931073694764,True,0.14155689535517124,True,0.9987736718066713,True,0.9222729302798885,0.1982142857142857,0.5671845417660547,0.001,0.9042683845211441,0,0.48354709856838124,True,0.9943724386993028,2.166093658741046,0.5500835689943661,0.07772706972011145,0.018349589091332004,0.03380285431351427,-0.015453265222182266,,14.0,,,,0.018071716361504116,0.9248925388384571,0.9919804115046919,0.02511244122935018,-0.06708787266623473
linear_memory_lag03_s436:2136:800,linear_memory_lag03_s436,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 3, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2136,v2,1,800,1,0.0,False,-2.061842760018148e-17,1.0,-0.001207285629923909,-1.1988857949273262,1.0,3.0,16.995137754573094,True,0.9996957097923372,-0.0010479097162692241,7.233775020601563,True,0.1459623584798773,True,0.9963784364993581,True,0.926113102346391,0.125,0.5482842391303586,0.001,0.9277287347396993,0,0.4165534673283701,True,0.9945284392197948,2.253087361484703,0.46260605470852606,0.07388689765360901,0.017443916064425656,0.03677227112828289,-0.019328355063857237,,3.0,,,,0.01764829721331047,0.2481399133174298,0.6413810129275179,0.023411030800795374,-0.39324109961008813
linear_memory_lag17_s438:2138:800,linear_memory_lag17_s438,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 17, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2138,v2,1,800,1,0.0,False,2.8548592061789737e-17,1.0,-0.020461931658986833,-1.1620507017856088,1.0,3.0,2.9987841908305164,True,0.9995569171016451,-0.0011125306737828078,-0.6323932760226845,True,,False,0.9970792427585482,True,0.9109129666022312,0.3125,0.5016944585602992,0.001,0.7119035220351635,0,0.5421511705207356,True,0.9924217395459182,2.316454940858196,0.5544732728142111,0.0890870333977688,0.021049534397581542,0.03944126737489281,-0.01839173297731127,,17.0,,,,0.018481182938411236,0.9930393636100424,1.0207212131540335,0.02658990739361253,-0.02768184954399111
linear_memory_lag05_s447:2147:800,linear_memory_lag05_s447,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 5, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2147,v2,1,800,1,0.0,False,6.3441315692866086e-18,1.0,0.10036137121664321,-1.0657167361343864,1.0,4.0,14.994955546838215,True,0.999600791459121,-0.0011199268555193154,7.081215405508975,True,0.13826376572447543,True,0.9987317387578234,True,0.9256817128725858,0.3125,0.5595350041449689,0.001,0.7805576498021761,0,0.5013545167929806,True,0.9941674381876315,2.332306598275784,0.5675135729064098,0.07431828712741417,0.01998020372466254,0.03897608749474888,-0.01899588377008634,,5.0,,,,0.020272838787370854,0.7188491444165597,0.7652080171502537,0.028393278099460385,-0.04635887273369399
linear_memory_lag11_s455:2155:800,linear_memory_lag11_s455,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 11, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2155,v2,1,800,1,0.0,False,3.172065784643304e-17,1.0,0.08310935464095359,-1.1960335874013412,1.0,3.0,8.996183122025199,True,0.9995579845275567,-0.0012214261224532397,-1.1236325996358754,True,0.14209361081471733,True,0.9957901777481502,True,0.9236892706979379,0.19285714285714284,0.5510442507044417,0.001,0.09297931920161195,0,0.47294647870494455,True,0.9972426145389721,2.272606513539203,0.5301099582483246,0.07631072930206206,0.021024164012947256,0.040785311018754246,-0.01976114700580699,,11.0,,,,0.016148050888702605,0.855093213260323,0.9676122219721058,0.024398814394774447,-0.11251900871178289
linear_memory_lag18_s456:2156:800,linear_memory_lag18_s456,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 18, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2156,v2,1,800,1,0.0,False,3.489272363107635e-17,1.0,0.019849681071597836,-1.208273667843044,1.0,4.0,1.9994221125173772,True,0.9997438446139194,-0.0011365964633758274,-0.576487565382302,True,0.14460738327790973,True,0.9977834916341386,True,0.9246836309494799,0.35,0.536995940678136,0.001,0.9262405155060645,0,0.5645464901993585,True,0.9939015648898989,2.2975472989640884,0.6133361094729035,0.07531636905052008,0.016004855078399573,0.03731959069250869,-0.021314735614109116,,18.0,,,,0.017492351193682466,0.9984562272360894,1.0033163812744024,0.024481607075063617,-0.004860154038312969
linear_memory_lag07_s458:2158:800,linear_memory_lag07_s458,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 7, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2158,v2,1,800,1,0.0,False,9.516197353929913e-18,1.0,-0.05798773422169206,-1.18155412197222,1.0,2.0,12.996552793830805,True,0.9997184611554278,-0.0009884289602247742,6.9391259430381425,True,0.13691851855595744,True,0.9985489696316643,True,0.9101726754518745,0.33035714285714285,0.5381999353533047,0.001,0.6451269862444252,0,0.49512131590882286,True,0.9972339820184357,2.181815951983374,0.4965834724789962,0.08982732454812548,0.01677911930263744,0.03563660764995602,-0.01885748834731858,,7.0,,,,0.01752920917673942,0.7626538901859495,0.8325682310401902,0.023891288960276504,-0.06991434085424064
linear_memory_lag14_s459:2159:800,linear_memory_lag14_s459,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 14, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2159,v2,1,800,1,0.0,False,-1.586032892321652e-17,1.0,-0.04759537906443408,-1.1928117204655528,1.0,2.0,5.998200652847119,True,0.9996878428729445,-0.0012215980815450944,-1.0828188568544204,True,0.12935919195346918,True,0.9966760809798298,True,0.9093014624331637,0.28928571428571426,0.4792761954211701,0.001,0.9253795263303431,0,0.5716299564698415,True,0.9939983127169467,2.1465236313698677,0.5910267149564773,0.09069853756683632,0.017667968956714873,0.03916318690556868,-0.021495217948853805,,14.0,,,,0.016098456848484793,0.8709573366995507,1.0117488640053407,0.024420002037091788,-0.14079152730579003
