dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
lorenz63_rho36.70_s005:1205:800,lorenz63_rho36.70_s005,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 36.701029094713036, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1205,v2,1,800,43,0.0,False,-7.612957883143931e-17,1.0000000000000002,1.2522728651985449,0.9582084648159128,43.0,7.0,,False,0.9999529928986258,-0.06001354991170749,10.036990431759744,True,4.931045179104513,True,0.9237093747242078,True,0.3232708229253327,0.0017857142857142857,2.0033498332015797e-08,0.001,0.018194000959321808,0,1.1547419711173874,True,0.3827740908926176,0.20813970343252056,0.6812008909296223,0.6767291770746673,0.006856172501780004,0.24507255458961866,-0.23821638208783866,,,,,1.0,1.0891665655185006,0.9723499561712042,0.9710879990559439,0.8963412087905626,0.001261957115260337
lorenz63_rho41.82_s011:1211:800,lorenz63_rho41.82_s011,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 41.816797011361345, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1211,v2,1,800,15,0.0,False,2.5376526277146434e-17,0.9999999999999999,0.34451185808470347,-0.8658739991284108,15.0,7.0,,False,0.9998283687317456,-0.09170853083602182,8.362100597037543,True,4.349132711778825,True,0.954744519913212,True,0.5188245595195005,0.0017857142857142857,9.939433460827951e-08,0.001,0.03652080317343068,0,1.3144513987134425,True,0.3712060841497235,0.373435908522384,0.7849738688163651,0.48117544048049954,0.013100811740284,0.30311740646864244,-0.29001659472835845,,,,,1.0,0.9714668553431977,0.4306254594537054,1.1495237527225282,0.5471977998336415,-0.7188982932688228
lorenz63_rho35.33_s020:1220:800,lorenz63_rho35.33_s020,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 35.327393888052555, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1220,v2,1,800,64,0.0,False,-5.075305255429287e-17,0.9999999999999998,-0.08229032254955149,-1.0282941969533073,64.0,8.0,,False,0.9999009965234376,-0.05340191086608892,11.183002745125151,True,,False,0.5497373781096901,True,0.48399795836680143,0.0017857142857142857,5.015545091935634e-08,0.001,0.004117517859812284,0,1.365109142053979,True,0.36797723762455725,0.3294566073661203,0.8261975062174505,0.5160020416331985,0.009950049073366761,0.23130264663996244,-0.22135259756659567,,,,,1.0,0.970906938714942,0.8832937957286598,1.4576625416295925,0.8482643091653848,-0.5743687459009327
lorenz63_rho40.79_s026:1226:800,lorenz63_rho40.79_s026,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 40.79339632550004, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1226,v2,1,800,15,0.0,False,-5.075305255429287e-17,1.0,0.45404500754541854,-0.7962246857074002,15.0,7.0,,False,0.9999310949582618,-0.03358763245930785,6.530404538266774,True,2.4255313646577896,True,0.9672544550727031,True,0.5227991900373967,0.008928571428571428,4.6702957948059296e-08,0.001,0.004794962892009181,0,1.291859912962993,True,0.38013808047817427,0.39444968037573996,0.8321355899698424,0.4772008099626033,0.008300906079351644,0.18345718165568223,-0.1751562755763306,,,,,1.0,1.005166630345959,0.7592522298466923,1.146337028647954,0.5591231101080065,-0.3870847988012617
lorenz63_rho30.61_s034:1234:800,lorenz63_rho30.61_s034,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 30.609067059078136, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1234,v2,1,800,37,0.0,False,-1.0150610510858574e-16,1.0,0.34443594085820733,-0.9089798160367115,37.0,8.0,,False,0.9999273976487529,-0.07546550412399766,7.0038810697486245,True,2.330494461319234,True,0.8738892717895799,True,0.47067007695005253,0.0017857142857142857,2.995411614034005e-08,0.001,0.004047767090637033,0,1.3509757313562496,True,0.35871265572808786,0.25609840425557173,0.7367149302457602,0.5293299230499475,0.008520701335399538,0.2748419663647543,-0.2663212650293547,,,,,1.0,1.2545687513696244,1.4067723340967901,1.348599356924111,1.0251262706918776,0.05817297717267911
lorenz63_rho27.09_s038:1238:800,lorenz63_rho27.09_s038,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 27.094618336724434, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1238,v2,1,800,16,0.0,False,0.0,1.0,-0.4781821047558425,-0.334362165555266,16.0,9.0,,False,0.9999612667768126,-0.011896187042597095,16.84095143236131,True,,False,0.9401788410386542,True,0.48464700462282473,0.01607142857142857,1.3537227992165247e-08,0.001,0.009367727422840179,0,1.3489997651139185,True,0.34513242576151104,0.27707963207916814,0.763056681236035,0.5153529953771753,0.006223602107092761,0.10924706067343151,-0.10302345856633875,,,,,1.0,0.7854155640416407,0.5338429464508344,0.8555014424827103,0.43804123837208503,-0.3216584960318759
lorenz63_rho43.39_s045:1245:800,lorenz63_rho43.39_s045,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 43.39172678201683, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1245,v2,1,800,15,0.0,False,0.0,1.0,0.14341075993011956,-0.9737112710971956,15.0,6.0,,False,0.9998826203880856,-0.026264235000458824,11.672205804816862,True,1.943153958902243,True,0.7940081143285509,True,0.43016697279732785,0.007142857142857143,5.23377735537298e-08,0.001,0.007657196890644277,0,1.2801624363535173,True,0.38948541856343283,0.40515808382890434,0.772542369429102,0.5698330272026721,0.010834187182912387,0.16242418111960183,-0.15158999393668945,,,,,1.0,1.0492426947246376,0.5637490862985242,1.0234655646277029,0.6308486159354894,-0.4597164783291787
lorenz63_rho26.20_s056:1256:800,lorenz63_rho26.20_s056,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 26.195581023468236, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1256,v2,1,800,14,0.0,False,6.344131569286608e-17,0.9999999999999999,-0.5194106919928443,-0.20766443437220694,14.0,9.0,,False,0.9999705422847353,-0.01534295908197203,13.426492700089184,True,1.4511771186962565,True,0.9869467244818352,True,0.5128180710164495,0.005357142857142857,4.948842242307935e-09,0.001,0.03658241308951508,0,1.3471327367288082,True,0.34457209371660547,0.2885966315925259,0.837781685132866,0.4871819289835505,0.005427496224298517,0.12398555075990433,-0.11855805453560582,,,,,1.0,0.8844083126712021,0.5817402858991619,1.3732812413788078,0.3912007510799725,-0.7915409554796459
lorenz63_rho22.11_s057:1257:800,lorenz63_rho22.11_s057,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 22.107237600917667, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1257,v2,1,800,7,0.0,False,3.96508223080413e-18,1.0,-0.021405344271277972,-1.109370650596925,7.0,8.0,,False,0.9999971901751317,-0.015809856503563702,10.720525134613489,True,,False,0.5448962185384116,True,0.15702867539750062,0.02857142857142857,4.48290815112186e-11,0.001,0.95,0,0.9525951146968274,True,0.3840921431863983,0.4697616077046371,0.4521612908927032,0.8429713246024994,0.0016762532232021973,0.1257484247552711,-0.1240721715320689,,,,,1.0,0.0015688960074334837,7.339901561379907e-05,0.2188974092375436,0.1189259065649694,-0.21882401022192982
lorenz63_rho34.04_s059:1259:800,lorenz63_rho34.04_s059,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 34.03858384422553, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1259,v2,1,800,15,0.0,False,-1.2688263138573217e-17,1.0,0.4804757000539297,-0.5474312780597326,15.0,8.0,,False,0.9999607361794025,-0.03166651635869133,11.334170953943364,True,1.7839367218033888,True,0.9440018478840689,True,0.5073294640963167,0.005357142857142857,2.2021119725007436e-08,0.001,0.26588593653824616,0,1.3619548034454028,True,0.3612167106974877,0.3356287106327737,0.8291668482401178,0.49267053590368326,0.006266084949754626,0.17806116976839384,-0.17179508481863923,,,,,1.0,1.1182568784531304,1.0694783954244882,1.7513564486900723,0.6222236494277467,-0.6818780532655841
