feature_group,feature,bin,n,q20,q80,qrc_useful_rate,qrc_win_rate,mean_advantage,median_advantage
persistence_ac_timescale,ac_timescale,low20,4122,1.0,24.0,0.03056768558951965,0.23750606501698204,-0.06038657536442998,-0.0181928168019396
persistence_ac_timescale,ac_timescale,mid60,3860,1.0,24.0,0.06347150259067358,0.1971502590673575,-0.1731879254166918,-0.0635025088535386
persistence_ac_timescale,ac_timescale,high20,2018,1.0,24.0,0.11397423191278494,0.21605550049554015,-0.12117565234277654,-8.287567561868841e-06
persistence_dfa_alpha,dfa_alpha,low20,2000,0.36559778509436414,1.1945181023077434,0.0285,0.175,-0.12077265893271484,-0.00882790346239195
persistence_dfa_alpha,dfa_alpha,mid60,5997,0.36559778509436414,1.1945181023077434,0.04568951142237786,0.2464565616141404,-0.08105755413508448,-0.0209382432929734
persistence_dfa_alpha,dfa_alpha,high20,2000,0.36559778509436414,1.1945181023077434,0.135,0.174,-0.2171519260874013,-0.1097921844609467
nonstationary_trend_strength,ext_trend_strength,low20,2000,2.726810225450739e-05,0.016976849387979918,0.0225,0.186,-0.10062053734163663,-0.00610160797746225
nonstationary_trend_strength,ext_trend_strength,mid60,6000,2.726810225450739e-05,0.016976849387979918,0.043333333333333335,0.22933333333333333,-0.0929737000036608,-0.02754112803704325
nonstationary_trend_strength,ext_trend_strength,high20,2000,2.726810225450739e-05,0.016976849387979918,0.148,0.214,-0.2014340237415479,-0.047233966099864896
low_frequency_psd_slope,ext_psd_slope,low20,2000,-1.8709162772448693,0.11185544382292636,0.1055,0.1705,-0.23697385435849957,-0.11376807671689895
low_frequency_psd_slope,ext_psd_slope,mid60,6000,-1.8709162772448693,0.11185544382292636,0.0525,0.2365,-0.08369865759618866,-0.0199759591485635
low_frequency_psd_slope,ext_psd_slope,high20,2000,-1.8709162772448693,0.11185544382292636,0.0375,0.208,-0.09290583394710143,-0.0054585956280736
spectral_entropy,spectral_entropy,low20,2000,0.2928697013233693,0.9225062380902591,0.061,0.1455,-0.1548167519281574,-0.00721588356811825
spectral_entropy,spectral_entropy,mid60,5997,0.2928697013233693,0.9225062380902591,0.07053526763381691,0.23161580790395198,-0.12259374140798135,-0.0322790184575656
spectral_entropy,spectral_entropy,high20,2000,0.2928697013233693,0.9225062380902591,0.028,0.248,-0.05856157555417755,-0.01689200133879495
volatility_memory,ext_volatility_ac1,low20,2000,0.045952931928287144,0.5628706135876257,0.073,0.159,-0.10288034353115164,-0.009075950464296951
volatility_memory,ext_volatility_ac1,mid60,5998,0.045952931928287144,0.5628706135876257,0.04418139379793264,0.245081693897966,-0.0889207386205372,-0.0187678289034298
volatility_memory,ext_volatility_ac1,high20,2000,0.045952931928287144,0.5628706135876257,0.095,0.194,-0.21142202244002428,-0.09692697782242475
complexity_perm_entropy,perm_entropy,low20,2000,0.4506436281872426,0.9932686047086329,0.0735,0.1315,-0.20368687224885448,-0.07097984244471539
complexity_perm_entropy,perm_entropy,mid60,6000,0.4506436281872426,0.9932686047086329,0.06716666666666667,0.2435,-0.10772921873896531,-0.023330398652849152
complexity_perm_entropy,perm_entropy,high20,2000,0.4506436281872426,0.9932686047086329,0.0255,0.226,-0.05410113262841658,-0.0165630589202082
chaos_lyapunov,lyapunov,low20,1640,0.14018300804859232,0.3070217672140157,0.03170731707317073,0.25426829268292683,-0.0595960252022053,-0.012885428671267449
chaos_lyapunov,lyapunov,mid60,4920,0.14018300804859232,0.3070217672140157,0.06686991869918699,0.24491869918699186,-0.08187775879378655,-0.02117086797288765
chaos_lyapunov,lyapunov,high20,1640,0.14018300804859232,0.3070217672140157,0.09085365853658536,0.18109756097560975,-0.28843993377406396,-0.17000729933427383
nonlinearity_nl_gain,nl_gain,low20,2000,-0.07300537166992956,0.10812490203787004,0.1305,0.232,-0.14603299679555756,-0.0263050937182019
nonlinearity_nl_gain,nl_gain,mid60,6000,-0.07300537166992956,0.10812490203787004,0.04083333333333333,0.22166666666666668,-0.08841817036462418,-0.016966863556716602
nonlinearity_nl_gain,nl_gain,high20,2000,-0.07300537166992956,0.10812490203787004,0.0475,0.191,-0.16968815320473685,-0.0831197076367155
dominant_frequency,dom_freq,low20,2224,0.0071428571428571,0.3535714285714285,0.13219424460431656,0.20638489208633093,-0.1604732459748747,-0.035170127245884156
dominant_frequency,dom_freq,mid60,5769,0.0071428571428571,0.3535714285714285,0.03848153926157046,0.2109551048708615,-0.11482596967220203,-0.0304315964510968
dominant_frequency,dom_freq,high20,2004,0.0071428571428571,0.3535714285714285,0.04241516966067864,0.249500998003992,-0.07117155893277399,-0.00624465508577925
seasonality_strength,ext_seasonality_strength,low20,2000,0.10322757242736297,0.9770276044326133,0.024,0.2435,-0.06294685526555728,-0.017878675295061
seasonality_strength,ext_seasonality_strength,mid60,6000,0.10322757242736297,0.9770276044326133,0.06233333333333333,0.23116666666666666,-0.12739220582185842,-0.032982410740245105
seasonality_strength,ext_seasonality_strength,high20,2000,0.10322757242736297,0.9770276044326133,0.0895,0.151,-0.13585218836303445,-0.0008119127286931
