dataset_id,name,family,subset_group,original_qrc_advantage_nrmse,nrmse_qrc_J1,nrmse_qrc_J0,nrmse_qrc_J1_dissipative_exploratory,paired_delta_J0_minus_J1,paired_delta_diss_minus_nodiss,nmae_qrc_J1,nmae_qrc_J0,nmae_qrc_J1_dissipative_exploratory,feature_dim,seeds
lorenz63_rho30.88_s276_snr20db:9776:800,lorenz63_rho30.88_s276_snr20db,chaotic_flow,target_pocket,-1.2970134162221636,1.179705910528461,0.3691978657492817,0.6081731686389787,-0.8105080447791794,-0.5715327418894823,0.8008007147692192,0.29741996225825795,0.41495109669426317,60,0
v4_unit_root_d0.002_s684:64684:800,v4_unit_root_d0.002_s684,unit_root_trend,target_pocket,-0.0371435303663492,0.7730527983866995,1.6380386335880732,1.566580687859446,0.8649858352013737,0.7935278894727464,0.5452122211769733,1.3069964053868761,1.0569712186373452,60,0
v4_multiscale_p192_45_1407:64407:800,v4_multiscale_p192_45_1407,multiscale_composite,target_pocket,-0.2139476478217356,1.028181505648812,0.5184365823083124,0.6043158428304971,-0.5097449233404996,-0.42386566281831484,0.4909469187082474,0.4287696131198396,0.47996628186873536,60,0
lorenz63_rho38.63_s485_snr10db:9985:800,lorenz63_rho38.63_s485_snr10db,chaotic_flow,target_pocket,-0.1406174926163927,0.44074687449864924,0.49001125810559193,0.5598457162878556,0.049264383606942685,0.11909884178920638,0.359579360387743,0.3922963519433257,0.4518274741117602,60,0
colored_noise_b1.488_s069:2469:800,colored_noise_b1.488_s069,colored_noise,target_pocket,0.0953290465830631,0.9788142577559673,0.6939273429795523,0.8311981194088789,-0.28488691477641503,-0.14761613834708842,0.8266770795389844,0.54035520928998,0.6461129449659035,60,0
colored_noise_b0.842_s021_v4_downsampled_aliased:76521:800,colored_noise_b0.842_s021_v4_downsampled_aliased,colored_noise,target_pocket,0.0856987606103774,0.2527227887568039,0.39374144568777564,0.47931296113486066,0.14101865693097176,0.2265901723780568,0.18588979524083493,0.2980584186245071,0.3683169031644163,60,0
sine_map_a0.846_s148_v4_quantized_clipped_saturated:79648:800,sine_map_a0.846_s148_v4_quantized_clipped_saturated,chaotic_map,chaotic_control,-1.003494193631598e-06,1.8920930082210166e-07,0.2581156132848459,0.30981020705433304,0.25811542407554505,0.3098100178450322,1.54033670923293e-07,0.2537719764068608,0.23823870745722855,60,0
henon_heiles_E0.111_s670:3370:800,henon_heiles_E0.111_s670,chaotic_flow,chaotic_control,-0.2481448266841374,0.09510321737729496,0.44682087078754895,0.5155727167425216,0.35171765341025396,0.4204694993652266,0.06517465038714755,0.35589951757845234,0.418963721106947,60,0
duffing_g0.34_w0.95_s418_v4_observation_noise:82418:800,duffing_g0.34_w0.95_s418_v4_observation_noise,chaotic_flow,chaotic_control,-0.6016836043007648,0.28003969092044334,0.39892051950872554,0.4201515955486255,0.1188808285882822,0.14011190462818218,0.217875129550392,0.318338508384748,0.34529560670081144,60,0
logistic_r3.6563_s331_v4_downsampled_aliased:71831:800,logistic_r3.6563_s331_v4_downsampled_aliased,chaotic_map,chaotic_control,0.0329735618750999,0.3651365747475933,0.45583639522981423,0.5636002917413453,0.09069982048222092,0.19846371699375198,0.1263203578736726,0.2458340659863925,0.3322751338449809,60,0
