regime,n,qrc_useful_rate,qrc_useful_ci_low,qrc_useful_ci_high,qrc_win_rate,mean_advantage,mean_ci_low,mean_ci_high,median_advantage,enrichment_vs_overall
persistence_drift_low_frequency_moderate_complexity,346,0.2254335260115607,0.18208092485549132,0.26878612716763006,0.3092485549132948,-0.08455625246644763,-0.12148210196297486,-0.047703170049126886,-0.0214587661171587,3.7509738105084973
persistence_drift_low_frequency,1755,0.16125356125356125,0.14358974358974358,0.17777777777777778,0.21196581196581196,-0.18314834797919646,-0.20362671522560358,-0.16152441861311276,-0.063413480248149,2.683087541656593
persistence_and_drift,1913,0.15159435441714583,0.1359121798222687,0.1688447464715107,0.20334553058024046,-0.2002215501549892,-0.2212198330375644,-0.1803775899601012,-0.0776617352633234,2.5223686259092486
persistence_and_low_frequency,2327,0.14353244520842287,0.1297700902449506,0.15814353244520843,0.202836269875376,-0.18459784585972505,-0.20229784569423792,-0.16617158952893402,-0.0813696705131523,2.388227041737485
drift_or_nonstationary,2648,0.13028700906344412,0.118202416918429,0.1438821752265861,0.2122356495468278,-0.1869062488110161,-0.20275864311313904,-0.16998658277177478,-0.0499439767638215,2.1678370892419987
high_persistence,3287,0.1110435047155461,0.10099634925463949,0.122299969577122,0.21174323090964406,-0.1518294681717699,-0.1654018945264777,-0.13901967800901902,-0.022146302378906,1.8476456691438619
low_frequency_or_steep_spectrum,3464,0.11085450346420324,0.10132072748267898,0.12211316397228637,0.1960161662817552,-0.17197089723522394,-0.18474576439971713,-0.159371429512878,-0.0626523525964891,1.8445008895874082
moderate_complexity,3404,0.06609870740305523,0.057579318448883664,0.07491186839012925,0.2300235017626322,-0.13557777016363892,-0.14486737835159702,-0.12596602824028114,-0.035170127245884156,1.0998121032122334
chaotic_family_control,3193,0.06451612903225806,0.056052301910429064,0.07297212652677733,0.18509238960225494,-0.16368946215446084,-0.17760952532164198,-0.15186694184611926,-0.0348860117919147,1.0734796843969727
clean_periodic_control,2506,0.06424581005586592,0.05466879489225858,0.0742218675179569,0.12410215482841182,-0.18011072331905453,-0.19469947960136486,-0.16394022827033164,-0.04168680298263825,1.0689818644902815
overall,10000,0.0601,0.0554,0.0648,0.2176,-0.1161951322188334,-0.12155126419604154,-0.11086192322541866,-0.023954730347744597,1.0
explicit_nonlinear_family_control,5111,0.05321854822930933,0.046957542555272944,0.05947955390334572,0.17902563099197807,-0.1464630381235097,-0.15475311878672363,-0.1392057012261163,-0.0558723619765249,0.8854999705375929
