dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage,ext_sample_entropy_m2,ext_approx_entropy_m2,ext_lz_complexity,ext_hurst_rs,ext_psd_slope,ext_spectral_centroid,ext_spectral_bandwidth,ext_spectral_rolloff85,ext_zero_crossing_rate,ext_turning_point_rate,ext_outlier_rate_3sigma,ext_spike_rate_mad6,ext_arch_lm5,ext_volatility_ac1,ext_trend_strength,ext_seasonality_strength,ext_changepoint_count,ext_recurrence_rate,ext_recurrence_determinism,ext_fnn_fraction,ext_corr_dim_approx,ext_bds_like,ext_zero_fraction,ext_cv2_positive,base_generator,frontier_score,candidate_pool_split,evaluation_split,selection_role,selection_order
mackey_glass_tau30_s000:1100:800,mackey_glass_tau30_s000,delay_dynamics,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 30, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1100,v2,1,800,1,0.0,False,9.516197353929911e-17,1.0,-0.544870460176444,-0.5475736985686881,13.0,13.0,,False,0.999962508330263,-0.0079293073909714,16.55673298752804,True,0.3889700487465222,True,0.7966727330556315,True,0.4205717514260424,0.0142857142857142,5.009383125968727e-07,0.001,0.95,0,1.4355832785399978,True,0.4089742760087041,0.3961311081781385,0.915390285318216,0.5794282485739576,0.0061230441560575,0.0892569272421386,-0.083133883086081,,,,,1.0,,,,,,0.481009938579446,0.481253775950818,0.9161663380285988,0.8289747553252806,-8.261566705384428,0.015616906081855,0.0098466521645043,0.01953125,0.0438047559449311,0.0701754385964912,0.0,0.0,794.9598955974127,0.9081049571416252,0.0002232577291839,0.9623074108371892,0.0,0.0997200351392845,0.800757451012679,0.0830945558739255,1.527029339555802,0.1787113790239935,0.0,0.0844876381057255,mackey_glass,0.6697916666666667,validation,unselected,,
lorenz63_rho39.72_s000:1200:800,lorenz63_rho39.72_s000,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 39.72130877801641, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1200,v2,1,800,1,0.0,False,-1.903239470785983e-17,1.0,-0.164843646641471,-0.7074896194894129,12.0,7.0,,False,0.9999686158794664,-0.0099893647345179,23.659895105142688,True,2.7891764722028896,True,0.9441688551809524,True,0.4881899671653482,0.0035714285714285,5.1167786343748426e-08,0.001,0.7589656567673865,0,1.318574782345251,True,0.3516648812890706,0.3527499235488348,0.8070401907526235,0.5118100328346518,0.0056021532051233,0.1001036905166418,-0.0945015373115184,,,,,1.0,,,,,,0.4110679852178536,0.4558467631089842,0.7956181356564148,0.7896148431719255,-10.281671477785382,0.0152349632589273,0.0130831043340838,0.025390625,0.0175219023779724,0.0476190476190476,0.0,0.0,794.8891787820336,0.9132432388542931,0.0139176781441441,0.9656403094229346,0.0,0.0997200351392845,0.8144245018936276,0.0401146131805157,1.4305172323357036,0.1820734303207343,0.0,0.3127084751094676,lorenz63,0.6677083333333333,validation,validation,broad_balanced,0.0
rossler_c8.57_s000:1300:800,rossler_c8.57_s000,chaotic_flow,synthetic,forecast,"{'generator': 'rossler', 'c': 8.571754164281877, 'dt': 0.05, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1300,v2,1,800,1,0.0,False,3.1720657846433036e-17,1.0,0.262277651931561,0.4921395433747686,21.0,19.0,,False,0.9999990710131528,-0.0056950308986161,9.840941950625597,True,0.1328009148597597,True,0.062462615374886,True,0.3902864297281316,0.0089285714285714,1.9016569262805914e-08,0.001,0.95,0,1.6788731380338084,True,0.2819401971511089,0.1441912382550455,1.0051942953484936,0.6097135702718683,0.0009638396377558,0.0754715832977117,-0.0745077436599558,,,,,1.0,,,,,,0.2032863458415518,0.258635522034063,0.7715084951819781,0.9493360762992168,-10.14163022724697,0.0097117359638817,0.0054947227079994,0.01171875,0.0175219023779724,0.0175438596491228,0.0,0.0050062578222778,794.9960453861237,0.9840396076792448,0.0064964490730147,0.981543923393687,3.0,0.0997200351392845,0.886711674625391,0.0186246418338108,1.1780152703681517,0.2134643132505927,0.0,0.7185396259962596,rossler,0.7047916666666666,validation,validation,frontier_enriched,3.0
logistic_r3.6228_s000:1400:800,logistic_r3.6228_s000,chaotic_map,synthetic,forecast,"{'generator': 'logistic', 'r': 3.622777557771053, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1400,v2,1,800,1,0.0,False,1.5860328923216522e-16,1.0,-0.2553255782091408,-1.586075467819386,186.0,3.0,,False,0.9394829512375392,0.0585450344580111,30.201217296265103,True,0.2053806269568867,True,0.6545467079308198,True,0.2763491219460964,0.5,0.0329963184498773,0.001,0.8048853007177104,0,0.0230775782591846,True,0.4836962538226018,0.2176454356181221,0.1454910048266472,0.7236508780539036,0.2460021316217823,0.0444073676820598,0.2015947639397225,0.2068362225788556,,,,1.0,,,,,,0.5336758707884719,0.5273448744650207,0.6750699332842308,0.1343977469094339,1.0313603931177069,0.4683072362489575,0.0828268610630607,0.5,1.0,1.0,0.0,0.0,410.21753729565114,0.2941089157732975,1.3294829152021848e-06,0.8761509843891518,16.0,0.0997200351392845,0.5694055656183106,0.1962750716332378,1.1670607797469974,0.0150325451927589,0.0,0.1144448323499651,logistic,0.4289583333333334,validation,unselected,,
henon_a1.078_s000:1500:800,henon_a1.078_s000,chaotic_map,synthetic,forecast,"{'generator': 'henon', 'a': 1.077998830501848, 'b': 0.3, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1500,v2,1,800,1,0.0,False,-5.392511833893618e-17,1.0,-0.1612261602680092,-1.624425838568646,186.0,3.0,,False,0.9848389728095296,0.0137523996988249,30.387527142000387,True,0.1391365895058813,True,0.1172716493380449,True,0.2046097882600857,0.5,0.0069451050247651,0.001,0.0297352179704242,0,0.0076233544334199,True,0.4362070644695501,0.1687694585959138,0.0552233258195635,0.7953902117399142,0.1231301230019294,0.0375316865014795,0.0855984365004499,0.1287313383050199,,,,1.0,,,,,,0.4456545202534642,0.3738335692475818,0.6750699332842308,0.0639546156653769,1.072853531028946,0.4711536289784819,0.0793553701528539,0.5,1.0,1.0,0.0,0.0,665.3848499133826,0.0928123408011229,1.569265507095352e-06,0.9710871203922592,30.0,0.0997200351392845,0.6502552280586201,0.1461318051575931,0.8859897779642856,0.0225106743113513,0.0,0.2204187128131208,henon,0.3910416666666667,validation,unselected,,
narma02_s000:1600:800,narma02_s000,input_driven_memory,synthetic,input_driven,"{'generator': 'narma', 'order': 2, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1600,v2,1,800,1,0.0,False,-1.027749314224431e-15,1.0,1.033911518072528,0.4660826463635263,1.0,4.0,12.004136087638814,True,0.8177046860097749,0.1031123381509441,6.931839026761059,True,0.1351557158012644,True,0.9986863210737866,True,0.9171613477419872,0.3553571428571428,0.5010895210803036,0.001,0.8536516699818618,0,0.4789066533238231,True,0.9933610952610636,2.1343572992759507,0.5885754601859369,0.0828386522580126,0.4269605532016104,0.2813946976033504,0.1455658555982599,,2.0,,,,,,,,,2.2125652425137012,1.6782433592174335,1.7600037546338874,0.6162031007761827,0.0460161519282391,0.2631248978577437,0.1444888250457168,0.435546875,0.5106382978723404,0.6553884711779449,0.0,0.0,2.764156375399503,0.1420535908578429,0.0001892327207694,0.1157511658508016,7.0,0.0997200351392845,0.5140787090400132,0.6532951289398281,2.4347078785809044,-0.000932706093324,0.0,0.352743059461608,narma,0.5722916666666666,validation,unselected,,
linear_memory_lag01_s000:1700:800,linear_memory_lag01_s000,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 1, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1700,v2,1,800,1,0.0,False,-1.5860328923216518e-17,1.0,0.0912139746272373,-1.135430994200293,1.0,4.0,18.993866356371395,True,0.9996235243517758,-0.0007739609423434,6.508517403005491,True,0.1405228614115459,True,0.9971631949655976,True,0.9189078563185492,0.3999999999999999,0.5373590762471109,0.001,0.7259960413107088,0,0.5324917077783136,True,0.9947755439780472,2.263645747288407,0.5951179558980738,0.0810921436814507,0.0194029803953987,0.0339180864815166,-0.0145151060861178,,1.0,,,,,,,,,2.217822268365796,1.646883610703977,1.747948934396669,0.6072758336199731,-0.1228473238839075,0.2485079886246916,0.1493819688546294,0.416015625,0.4993742177722152,0.6917293233082706,0.0,0.0,2.7386687163214587,0.1547159636055069,0.0004574678862704,0.097275028799928,6.0,0.0997200351392845,0.5032109336407048,0.6575931232091691,2.4837462293651424,0.0016973577806472,0.0,0.3605812603030778,linear_memory,0.6677083333333332,validation,unselected,,
nonlinear_ipc_d3_l17_s000:1800:800,nonlinear_ipc_d3_l17_s000,input_driven_memory,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 3, 'lags': [1, 8, 17], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1800,v2,1,800,1,0.0,False,3.1720657846433036e-17,1.0,-0.1647211361756599,0.712635667969693,1.0,3.0,10.600164608058614,True,0.8173609086545676,0.0353032845675398,2.9184872123810575,True,0.1624062166560085,True,0.9979163884341654,True,0.9255902572301886,0.4821428571428571,0.5665770174621624,0.001,0.6593600727215847,0,0.495578953935625,True,0.9935753723127032,2.1393019296035147,0.565952955608773,0.0744097427698113,0.4273629503658833,0.3838434665041111,0.0435194838617721,,17.0,,,,,,,,,2.1223266239615537,1.6250034148161472,1.7600037546338874,0.5081249678265639,0.120222069502105,0.2685091170502303,0.1425968942733737,0.439453125,0.5156445556946183,0.6942355889724311,0.0,0.0,0.862604545825808,0.1381510148878456,9.940257167551092e-05,0.1097555627957547,4.0,0.0997200351392845,0.5252758109665734,0.6446991404011462,2.463532775750559,0.0005159518450345,0.0,0.3420977936627288,nonlinear_ipc,0.5960416666666667,validation,unselected,,
mso2_s000:1900:800,mso2_s000,oscillatory_quasiperiodic,synthetic,forecast,"{'generator': 'mso', 'n_freqs': 2, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1900,v2,1,800,1,0.0,False,-4.123685520036296e-17,1.0,0.0122248196109334,-0.7402938093816549,5.0,7.0,,False,0.9999999999990608,-0.039516266982712,11.23824488541058,True,0.2993620340426765,True,0.9439548957560108,True,0.2768675831973244,0.0464285714285714,1.220323314805731e-10,0.001,0.95,0,0.7117003716021919,True,0.4564737647396432,0.5069940452798256,0.4679221078686916,0.7231324168026756,9.691174151281914e-07,0.1987869889697291,-0.1987860198523139,,,2.0,,,,,,,,0.5793633761900788,0.5728453851377542,1.1210982820613118,0.3748633817463016,-7.891292200761063,0.0389996227626928,0.0080798396109272,0.046875,0.0901126408010012,0.093984962406015,0.0,0.0,794.9912808860146,0.8979511815027553,0.0002097324903703,0.9147267704396016,0.0,0.0997200351392845,0.7655195125967397,0.0401146131805157,1.7241408675178604,0.1149734867182433,0.0025,0.5045893867663716,mso,0.6914583333333333,validation,validation,frontier_enriched,4.0
quasi_periodic2_s000:2000:800,quasi_periodic2_s000,oscillatory_quasiperiodic,synthetic,forecast,"{'generator': 'quasi_periodic', 'n_freqs': 2, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2000,v2,1,800,1,0.0,False,-2.8548592061789737e-17,1.0,-0.0098407938265239,-0.7522267013655561,5.0,6.0,,False,0.9999999999987316,-0.020379012061668,18.864231320967072,True,0.323162901545844,True,0.9916906976295428,True,0.2768589849309441,0.0464285714285714,1.1027833197345632e-10,0.001,0.9322109882495676,0,0.7005761827742554,True,0.4497347534271764,0.5587105319577548,0.4499676239666999,0.7231410150690559,1.1262135188440074e-06,0.1427550771879456,-0.1427539509744268,,,2.0,,,,,,,,0.6175222629876338,0.6431848825506865,1.0608241808752197,0.3479869284033939,-7.177735931300077,0.0393076680617774,0.0064164710692958,0.046875,0.0851063829787234,0.0914786967418546,0.0,0.0,794.9948940049737,0.9016683349584252,6.2689858633113715e-06,0.8983279854213885,0.0,0.0997200351392845,0.7760579614687964,0.0974212034383954,1.7180778073838336,0.1163533859251125,0.0,0.5133586043288412,quasi_periodic,0.661875,validation,unselected,,
