group,n,mean_advantage_qrc_m,win_rate_qrc_m,useful_rate_qrc_m,mean_advantage_qrc_e,win_rate_qrc_e,useful_rate_qrc_e,mean_advantage_qrc_d,win_rate_qrc_d,useful_rate_qrc_d,mean_best_qrc_advantage,best_qrc_win_rate,best_qrc_useful_rate,most_common_best_variant
overall,10000,-0.10710681414573528,0.2182,0.0868,-0.16355874581709973,0.1644,0.0649,-0.2434611599975159,0.1384,0.0512,-0.06567493610898868,0.3257,0.1176,qrc_m
family:chaotic_flow,1176,-0.2702035460030918,0.20153061224489796,0.1522108843537415,-0.293471669909998,0.17091836734693877,0.13010204081632654,-0.41963868545600846,0.11904761904761904,0.08758503401360544,-0.14134817512690895,0.2916666666666667,0.2193877551020408,qrc_m
family:chaotic_map,2050,-0.1027752711135486,0.25170731707317073,0.09414634146341463,-0.18759204753457875,0.11853658536585365,0.03853658536585366,-0.4063765925005095,0.05317073170731707,0.01951219512195122,-0.08128657036172973,0.30146341463414633,0.10439024390243902,qrc_m
family:colored_noise,318,-0.014051503328959223,0.279874213836478,0.16666666666666666,0.004522616574267301,0.31761006289308175,0.16981132075471697,-0.0010294793160343337,0.3050314465408805,0.18238993710691823,0.05938682885729435,0.5031446540880503,0.2672955974842767,qrc_m
family:delay_dynamics,225,-0.3506415804097824,0.06222222222222222,0.04,-0.4053317874346421,0.06222222222222222,0.02666666666666667,-0.4271423135050116,0.057777777777777775,0.02666666666666667,-0.2694671675309999,0.12,0.06222222222222222,qrc_m
family:heavy_tail_jump,281,-0.017469022798234243,0.2277580071174377,0.03558718861209965,-0.029392495181596284,0.18861209964412812,0.03558718861209965,-0.020412833379024595,0.2277580071174377,0.028469750889679714,-0.0007088736047517191,0.4092526690391459,0.0498220640569395,qrc_m
family:input_driven_memory,1421,-0.1018432051965904,0.14074595355383532,0.04433497536945813,-0.1490040818393153,0.04926108374384237,0.019000703729767768,-0.17164376494699896,0.048557353976073185,0.022519352568613652,-0.08896013339942484,0.1660802251935257,0.05629838142153413,qrc_m
family:intermittent_sparse,119,-0.002838565674995159,0.25210084033613445,0.06722689075630252,0.005875588812045488,0.3445378151260504,0.07563025210084033,0.014753788226346286,0.35294117647058826,0.1092436974789916,0.030569110373109186,0.5126050420168067,0.12605042016806722,qrc_d
family:linear_stochastic,348,-0.02290494351133882,0.3505747126436782,0.05172413793103448,-0.046875710731135715,0.1925287356321839,0.034482758620689655,-0.05232011643371076,0.1867816091954023,0.034482758620689655,-0.004361411203824053,0.47413793103448276,0.07471264367816093,qrc_m
family:long_range,525,-0.0208158909969799,0.22476190476190477,0.03619047619047619,-0.019992464148873984,0.24571428571428572,0.04,-0.026533189835594544,0.21142857142857144,0.03238095238095238,0.0022535796802619617,0.44571428571428573,0.05714285714285714,qrc_m
family:multiscale_composite,291,-0.2785530377008728,0.09621993127147767,0.037800687285223365,-0.4461171845967387,0.05154639175257732,0.024054982817869417,-0.441522361121349,0.041237113402061855,0.024054982817869417,-0.23726253745665687,0.12714776632302405,0.05154639175257732,qrc_m
family:nonlinear_autoregressive,269,-0.011938490825268095,0.2862453531598513,0.05204460966542751,-0.016251269375603894,0.2862453531598513,0.04460966542750929,-0.015716406493777133,0.25650557620817843,0.055762081784386616,0.0045487223484230906,0.45353159851301117,0.07063197026022305,qrc_m
family:oscillatory_quasiperiodic,747,-0.23070750296320702,0.07228915662650602,0.03748326639892905,-0.4901293965531549,0.0749665327978581,0.04551539491298527,-0.6336568182764033,0.07630522088353414,0.04551539491298527,-0.18685840702204065,0.12048192771084337,0.06693440428380187,qrc_m
family:regime_switching,328,-0.00970773030329886,0.3353658536585366,0.16158536585365854,-0.032623635643490106,0.21646341463414634,0.10670731707317073,-0.06625263815058624,0.13719512195121952,0.057926829268292686,0.03804595028945968,0.43902439024390244,0.2225609756097561,qrc_m
family:seasonal_calendar,274,-0.1816181794688327,0.2773722627737226,0.2116788321167883,-0.2796798665634569,0.2116788321167883,0.1386861313868613,-0.29390262611597234,0.19343065693430658,0.145985401459854,-0.1632608076531067,0.3175182481751825,0.22262773722627738,qrc_m
family:unit_root_trend,337,0.10503255701488813,0.3620178041543027,0.3323442136498516,0.10548425874652217,0.3857566765578635,0.35014836795252224,-0.023751331593851604,0.22551928783382788,0.20178041543026706,0.22111328253691045,0.5281899109792285,0.4896142433234421,qrc_m
family:volatility_heteroskedastic,1291,-0.012572619509215273,0.2517428350116189,0.030983733539891558,-0.013890733763245835,0.24632068164213788,0.026336173508907823,-0.011827984846582951,0.2804027885360186,0.030983733539891558,0.004887187773327513,0.4957397366382649,0.044151820294345466,qrc_d
