dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
mackey_glass_t17:101:800,mackey_glass_t17,chaotic_flow,synthetic,forecast,{'tau': 17},101,v2,1,800,9,0.0,False,-1.427429603089487e-16,1.0,-0.4504627095391794,-0.7189720964071293,9.0,12.0,,False,0.9999638555814532,-0.00803068311496069,20.10302002451794,True,0.3551132990837992,True,0.5822358206529399,True,0.34396913804414414,0.019642857142857142,4.5195221974991815e-07,0.001,0.95,0,1.2207984113755794,True,0.40472723856624165,0.40729126722421877,0.7387341901833737,0.6560308619558559,0.08981551944685025,,,,,1.0,0.36105076800060415,0.033416224716033144,0.8466067610413887,0.18106084637152595,-0.8131905363253555
mackey_glass_t30:102:800,mackey_glass_t30,chaotic_flow,synthetic,forecast,{'tau': 30},102,v2,1,800,13,0.0,False,-3.0451831532575723e-16,1.0,-0.5560952106809776,-0.6947892551140273,13.0,12.0,,False,0.9999643725371438,-0.0059822222157625005,15.07370746521849,True,0.3964659494342102,True,0.6765386583818704,True,0.39676947992487305,0.008928571428571428,5.574929970202106e-07,0.001,0.95,0,1.4408084078683812,True,0.40318584923465495,0.3959242575296023,0.8965013946334837,0.6032305200751269,0.07757480053869778,,,,,1.0,0.5283833978409866,0.3934193827113077,0.9234243554832969,0.395211638977454,-0.5300049727719892
lorenz63:103:800,lorenz63,chaotic_flow,synthetic,forecast,"{'rho': 28.0, 'dt': 0.02}",103,v2,1,800,15,0.0,False,0.0,1.0,0.029350374196972766,-0.6310364909144761,15.0,9.0,,False,0.9999834249007482,-0.0072307784034479905,22.193512054466215,True,1.6035391707483082,True,0.8840298881926136,True,0.48020978284830196,0.0017857142857142857,1.2143655921448461e-08,0.001,0.02058188832268396,0,1.3964356228143266,True,0.34058467514893914,0.2763601073792825,0.8430137795087851,0.519790217151698,0.08513138964388989,0.906,,,,1.0,0.7425556947757843,0.16429647574253234,0.9706622035400185,0.37814579606000204,-0.8063657277974862
rossler:104:800,rossler,chaotic_flow,synthetic,forecast,"{'c': 5.7, 'dt': 0.05}",104,v2,1,800,22,0.0,False,-4.4408920985006264e-17,0.9999999999999999,0.29438543414591484,-0.43352186941144755,22.0,23.0,,False,0.9999995433262644,-0.0030034957420256303,18.98079178583888,True,0.07219971309357781,True,-0.14461483057051194,True,0.25838546346736296,0.008928571428571428,3.399906592972293e-10,0.001,0.947239763359901,0,1.6645082142698837,True,0.27621761780211346,0.19813531976991053,0.9867615230124,0.741614536532637,0.054808324329076966,,,,,1.0,0.5330643024500029,0.024052357474561414,1.0756782668207256,0.2760853363060745,-1.0516259093461642
logistic_r4:105:800,logistic_r4,chaotic_map,synthetic,forecast,{'r': 4.0},105,v2,1,800,1,0.0,False,-3.8064789415719653e-17,1.0,0.06556388744820651,-1.5170285198035505,1.0,6.0,,False,-0.06993474027410995,1.0640052756790666,1.5873476937891144,True,0.6788096337696158,True,0.9992466741151979,True,0.9321900797158768,0.2375,0.5922548666083427,0.001,0.7974777602990845,0,0.5457936054264346,True,0.7349895746417606,0.6330314883923762,0.5944473476270247,0.06780992028412325,0.07700301679183363,0.6933290933494688,,,,1.0,1.0260869406391135,0.0308771691925314,0.9966704543926467,0.04447466922709167,-0.9657932852001153
henon:106:800,henon,chaotic_map,synthetic,forecast,"{'a': 1.4, 'b': 0.3}",106,v2,1,800,1,0.0,False,4.282288809268461e-17,1.0,-0.5012331775103237,-0.8668893779767259,1.0,12.0,,False,0.27376321712716,0.7052195901064797,7.468184241265425,True,0.44517686206794316,True,0.9989665094248094,True,0.8837638926443592,0.45,0.45141427980191623,0.001,0.5848114576387627,0,0.242935353899828,True,0.6782508914785265,0.45261711516900954,0.3755864303999744,0.11623610735564083,0.14497307600503032,0.4114604198906406,,,,1.0,0.861574140387352,0.021727273945351247,0.8658645775211252,0.09628374659886504,-0.844137303575774
narma10:107:800,narma10,input_driven,synthetic,input_driven,{'order': 10},107,v2,1,800,1,0.0,False,2.448834785744631e-15,1.0,0.9054898796827114,0.3077024816767451,1.0,5.0,10.020868373658548,True,0.7693247822152023,0.11701475277141304,5.219649209452399,True,,False,0.9966776475736785,True,0.9380034822502415,0.375,0.6098745979021649,0.001,0.8465609060409681,0,0.48138075994715995,True,0.9958783632475178,2.2757578507609013,0.5712462209214729,0.06199651774975845,0.33713567745550854,,10.0,,,,0.40092546363046094,0.6898350389676721,1.048458810909838,0.28878483186188847,-0.358623771942166
narma20:108:800,narma20,input_driven,synthetic,input_driven,{'order': 20},108,v2,1,800,1,0.0,False,-1.0055448537319275e-15,1.0,0.6957810897390563,-0.2718413251731775,1.0,3.0,8.839195531386713,True,0.8483412955005483,0.05960728433217988,1.6836156728650975,True,0.15292096880284278,True,0.9986798769721126,True,0.92665198215138,0.10535714285714286,0.5366989963303409,0.001,0.8197471639428201,0,0.505616917402649,True,0.9947131628576811,2.2005358386398752,0.5428870830533168,0.07334801784862,0.3033997695570514,,20.0,,,,0.7537905856111875,0.7602204872015862,1.0040863431685958,0.7650696078693581,-0.2438658559670096
linear_memory:109:800,linear_memory,input_driven,synthetic,input_driven,{'lag': 8},109,v2,1,800,1,0.0,False,2.5376526277146434e-17,1.0,0.012881197590261203,-1.2380397640831518,1.0,2.0,11.995371909225247,True,0.9995836967451204,-0.0009100579199555758,8.03721586241926,True,0.1446632395320701,True,0.9988162164359065,True,0.9273652043063999,0.4464285714285714,0.5823485450320868,0.001,0.03997800485480253,0,0.44713842729435244,True,0.9959816725939911,2.211591166148798,0.5521584156944586,0.0726347956936001,0.036419241821257074,,8.0,,,,0.017539675247937193,0.8602270326317587,1.0115262501776974,0.024495283424652542,-0.15129921754593867
nonlinear_ipc:110:800,nonlinear_ipc,input_driven,synthetic,input_driven,"{'lags': [1, 3, 5], 'degree': 2}",110,v2,1,800,1,0.0,False,1.2053849981644556e-16,1.0,0.42870826738165846,0.021299889653713766,1.0,2.0,0.0,True,-0.10722349720316249,0.8874452505408532,1.353738145675929,True,0.13807681031363234,True,0.9963093383879735,True,0.9170749046683819,0.1607142857142857,0.5321397495896392,0.001,0.8857095521316959,0,0.507608572415812,True,0.9946029843773143,2.2022623713661766,0.576448259218817,0.08292509533161807,0.46880512653159984,,5.0,,,,1.06848403937048,0.7253747300705555,1.0397958932879827,0.45086639456396144,-0.3144211632174272
