source_index,name,family,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_J1,nrmse_qrc_J0,advantage_J1_vs_esn,advantage_J0_vs_esn,paired_delta_J0_minus_J1,paired_effect_J1_better,feature_dim,n_qubits,depth,virtual_nodes,matched_qrc_seeds
0,mackey_glass_tau34_s000,chaotic_flow,forecast,1100,800,15,0.5068485124720891,0.9739146448578583,0.9787077430983568,-0.4670661323857692,-0.4718592306262678,0.004793098240498561,0.004793098240498561,60,6,5,5,0
1,mackey_glass_tau42_s001,chaotic_flow,forecast,1101,800,17,0.9525856843179674,1.1884774312999917,1.187614656461692,-0.2358917469820243,-0.23502897214372465,-0.0008627748382996625,-0.0008627748382996625,60,6,5,5,0
2,mackey_glass_tau28_s002,chaotic_flow,forecast,1102,800,14,0.9693313211925382,1.1831633091348992,1.1496370788381616,-0.21383198794236102,-0.1803057576456234,-0.033526230296737625,-0.033526230296737625,60,6,5,5,0
3,mackey_glass_tau29_s003,chaotic_flow,forecast,1103,800,12,0.660968500021904,0.9554502128784724,0.9483020007480553,-0.29448171285656843,-0.28733350072615127,-0.007148212130417164,-0.007148212130417164,60,6,5,5,0
4,mackey_glass_tau33_s004,chaotic_flow,forecast,1104,800,16,0.5990510789900714,0.8634077452142136,0.9809879136423338,-0.2643566662241422,-0.38193683465226247,0.11758016842812025,0.11758016842812025,60,6,5,5,0
5,mackey_glass_tau38_s005,chaotic_flow,forecast,1105,800,15,0.9880442017005138,0.7277887980575584,0.9223176641362822,0.2602554036429554,0.06572653756423152,0.19452886607872388,0.19452886607872388,60,6,5,5,0
6,mackey_glass_tau17_s006,chaotic_flow,forecast,1106,800,9,0.4977827720972912,0.9631076160209632,1.3947610003728028,-0.46532484392367196,-0.8969782282755117,0.43165338435183964,0.43165338435183964,60,6,5,5,0
7,mackey_glass_tau19_s007,chaotic_flow,forecast,1107,800,10,0.1578988342893454,0.887484307745455,0.8909389382089011,-0.7295854734561096,-0.7330401039195558,0.0034546304634461844,0.0034546304634461844,60,6,5,5,0
8,mackey_glass_tau20_s008,chaotic_flow,forecast,1108,800,10,0.3682840985312319,0.7915091746656867,0.9001876679418803,-0.4232250761344548,-0.5319035694106484,0.10867849327619361,0.10867849327619361,60,6,5,5,0
9,mackey_glass_tau31_s009,chaotic_flow,forecast,1109,800,14,0.5191671072568239,1.3862493485293619,1.0217900818944172,-0.867082241272538,-0.5026229746375933,-0.36445926663494466,-0.36445926663494466,60,6,5,5,0
10,mackey_glass_tau21_s010,chaotic_flow,forecast,1110,800,11,0.5123785901130635,0.87476801322796,0.9853970630245857,-0.3623894231148965,-0.4730184729115222,0.11062904979662569,0.11062904979662569,60,6,5,5,0
