split,family,n,mean_best_qrc_advantage,mean_ci_low,mean_ci_high,median_best_qrc_advantage,best_qrc_win_rate,best_qrc_useful_rate,useful_rate_ci_low,useful_rate_ci_high,most_common_best_variant
discovery,unit_root_trend,337,0.22111328253691045,0.18049538811703666,0.2611177949160326,0.0389136471443329,0.5281899109792285,0.4896142433234421,0.4332344213649852,0.5459940652818991,qrc_m
discovery,colored_noise,318,0.05938682885729435,0.039096806090994314,0.08230630974232331,8.570919709813766e-05,0.5031446540880503,0.2672955974842767,0.2138364779874214,0.31446540880503143,qrc_m
discovery,seasonal_calendar,274,-0.1632608076531067,-0.21976318573531484,-0.10684985616416816,-0.0708836773108028,0.3175182481751825,0.22262773722627738,0.17518248175182483,0.27016423357664227,qrc_m
discovery,regime_switching,328,0.03804595028945968,0.017376383814334546,0.057884168136923826,0.0,0.43902439024390244,0.2225609756097561,0.17682926829268292,0.2682926829268293,qrc_m
discovery,chaotic_flow,1176,-0.14134817512690895,-0.16549258817521334,-0.11729880208502472,-0.09658213071212371,0.2916666666666667,0.2193877551020408,0.19555697278911563,0.24236819727891154,qrc_m
discovery,intermittent_sparse,119,0.030569110373109186,0.00925608446386771,0.05829561586803796,0.0007234058243377,0.5126050420168067,0.12605042016806722,0.07563025210084033,0.1850840336134452,qrc_d
discovery,chaotic_map,2050,-0.08128657036172973,-0.09075019714277094,-0.07154542528812718,-0.00041986752393335003,0.30146341463414633,0.10439024390243902,0.09073170731707317,0.11853658536585365,qrc_m
discovery,linear_stochastic,348,-0.004361411203824053,-0.010217666672471294,0.001647022518511638,-0.0025432564854454,0.47413793103448276,0.07471264367816093,0.04885057471264368,0.10344827586206896,qrc_m
discovery,nonlinear_autoregressive,269,0.0045487223484230906,-0.0037266421895589285,0.015070227782614397,-0.0029051461113441,0.45353159851301117,0.07063197026022305,0.040892193308550186,0.10037174721189591,qrc_m
discovery,oscillatory_quasiperiodic,747,-0.18685840702204065,-0.2027886552184697,-0.17064038150642985,-0.155854194310066,0.12048192771084337,0.06693440428380187,0.049531459170013385,0.0856760374832664,qrc_m
discovery,delay_dynamics,225,-0.2694671675309999,-0.3007098283859911,-0.24132726860912124,-0.2807485659613383,0.12,0.06222222222222222,0.035555555555555556,0.09333333333333334,qrc_m
discovery,long_range,525,0.0022535796802619617,-0.002373281124858978,0.008402550075696442,-0.0026946911161369,0.44571428571428573,0.05714285714285714,0.0380952380952381,0.0761904761904762,qrc_m
discovery,input_driven_memory,1421,-0.08896013339942484,-0.09481790007658138,-0.08255379357344424,-0.0733808971490121,0.1660802251935257,0.05629838142153413,0.04433497536945813,0.06896551724137931,qrc_m
discovery,multiscale_composite,291,-0.23726253745665687,-0.2665819827476985,-0.20956664611630094,-0.2072892109659212,0.12714776632302405,0.05154639175257732,0.027491408934707903,0.07903780068728522,qrc_m
