feature,gbr_importance_mean,ci_low,ci_high,selection_rate
pred_nrmse_gbm,0.13514070355572264,0.08929757262533668,0.17441593918685894,1.0
predictability_gap_linear_gbm,0.08001977804727126,0.045662467484971714,0.11798436582417325,1.0
dfa_alpha,0.07115480998168575,0.032087380688490236,0.12982385297299304,1.0
ext_spectral_centroid,0.06723094357254837,0.03033021164735381,0.1399452933407729,1.0
ext_trend_strength,0.055147588367955414,0.028937724124819705,0.09766155388148016,1.0
ext_psd_slope,0.052655774416089894,0.022678890970860538,0.09436507837061814,1.0
lyapunov,0.05197860237907992,0.015481001233632765,0.08895676515573994,1.0
nl_gain,0.051481582813543744,0.02095942542525535,0.08603949352901127,1.0
ext_volatility_ac1,0.04924758146442272,0.014609138164723907,0.10596823836419174,1.0
ac_timescale,0.041164105104076504,0.020400694841755735,0.0688527347839033,1.0
snr_db,0.03487545673144338,0.013500512240132793,0.06400682224223064,1.0
ami_first_min,0.0341350151978957,0.012716290366235233,0.07740845065921302,1.0
forecastability,0.031240778688782896,0.00923579959534184,0.05767306073747378,1.0
spectral_entropy,0.031020292078142025,0.010267653186729557,0.059415452104539385,1.0
adf_p,0.030089336949569633,0.0049268972244714705,0.0702234397282112,1.0
kpss_p,0.029974718463818727,0.007478695036420211,0.06782989834161819,1.0
zero_one_K,0.026628308512021814,0.0053351364340219545,0.060209523469998416,1.0
sample_entropy,0.026243122002842307,0.006960167875249555,0.047655677910230204,1.0
hurst_rs,0.023500834812233806,0.005914364087540562,0.04736803379546926,1.0
r2_linear,0.014900151086696983,0.0003029810522235834,0.03771064955847782,0.9875
ext_recurrence_determinism,0.014415847628602879,0.0027600450935149345,0.037152213152043805,1.0
dom_freq,0.00977344139570575,0.0005792519240049676,0.02686014303654297,0.975
perm_entropy,0.00908079624817143,0.00013592895230673597,0.024032789111641313,0.9875
ext_arch_lm5,0.008925014507259462,0.0004898702046147849,0.03199589861260128,0.975
spectral_flatness,0.005999122600876199,0.0,0.017522760022011055,0.925
ext_changepoint_count,0.0057289734771810465,0.0,0.018443638691472367,0.9625
ext_lz_complexity,0.005292033109621621,0.0,0.01779740550361341,0.9375
mem_capacity,0.001269815264604898,0.0,0.004604336728128062,0.7125
n_diffs,0.0009102149098929501,0.0,0.009598269204439203,0.4
ext_recurrence_rate,0.0007752566322402901,0.0,0.007845909859617474,0.35
