rule,split,n,win_rate,useful_rate,mean_advantage
ext_trend_strength percentile > 0.92 and ext_spectral_centroid percentile <= 0.18 and ext_spectral_centroid percentile > 0.03,discovery,417,0.5587529976019184,0.5203836930455635,0.23360664977709217
ext_trend_strength percentile > 0.92 and ext_spectral_centroid percentile <= 0.18 and ext_spectral_centroid percentile <= 0.03,discovery,172,0.3430232558139535,0.3081395348837209,-0.11549090999606951
ext_trend_strength percentile > 0.92 and ext_spectral_centroid percentile > 0.18,discovery,224,0.34375,0.20535714285714285,-0.16743588017814723
ext_trend_strength percentile <= 0.92 and dfa_alpha percentile > 0.66 and dfa_alpha percentile <= 0.93,discovery,2015,0.36228287841191065,0.19106699751861042,-0.05761350583454516
ext_trend_strength percentile <= 0.92 and dfa_alpha percentile <= 0.66 and ext_volatility_ac1 percentile > 0.65,discovery,1704,0.38321596244131456,0.11267605633802817,-0.07215433343560702
ext_trend_strength percentile <= 0.92 and dfa_alpha percentile > 0.66 and dfa_alpha percentile > 0.93,discovery,570,0.08596491228070176,0.06491228070175438,-0.3296097858795286
ext_trend_strength percentile <= 0.92 and dfa_alpha percentile <= 0.66 and ext_volatility_ac1 percentile <= 0.65,discovery,4898,0.2972641894650878,0.05022458146182115,-0.05509871049111704
ext_trend_strength percentile > 0.92 and ext_spectral_centroid percentile <= 0.18 and ext_spectral_centroid percentile > 0.03,validation,420,0.5142857142857142,0.4738095238095238,0.20857338903722142
ext_trend_strength percentile > 0.92 and ext_spectral_centroid percentile <= 0.18 and ext_spectral_centroid percentile <= 0.03,validation,177,0.3785310734463277,0.3559322033898305,-0.020487603018296968
ext_trend_strength percentile <= 0.92 and dfa_alpha percentile > 0.66 and dfa_alpha percentile <= 0.93,validation,2017,0.37183936539414975,0.20624690133862172,-0.04932057794357388
ext_trend_strength percentile > 0.92 and ext_spectral_centroid percentile > 0.18,validation,216,0.2916666666666667,0.18055555555555555,-0.18604306628336115
ext_trend_strength percentile <= 0.92 and dfa_alpha percentile <= 0.66 and ext_volatility_ac1 percentile > 0.65,validation,1765,0.3926345609065156,0.11841359773371105,-0.06459656593213337
ext_trend_strength percentile <= 0.92 and dfa_alpha percentile > 0.66 and dfa_alpha percentile > 0.93,validation,560,0.09821428571428571,0.08392857142857142,-0.2926483682700818
ext_trend_strength percentile <= 0.92 and dfa_alpha percentile <= 0.66 and ext_volatility_ac1 percentile <= 0.65,validation,4845,0.28792569659442724,0.05779153766769866,-0.051723759815139554
